time,machine_id,new_pstate
0,0-31,0
334.368,20-21,-2
340.468,20-21,13
341.534,24,-2
347.634,24,13
350.341,9,-2
356.441,9,13
426.548,7 10-12,-2
432.648,7 10-12,13
513.018,18-19 22-23,-2
519.118,18-19 22-23,13
600,27,-2
606.1,27,13
625.478,2-4,-2
631.578,2-4,13
