job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
42,420,87cf57,530.087620,2,67.000000,1,530.087620,6.609000,536.696620,0.000000,6.609000,1.000000,1255.710000,25-26
43,430,87cf57,545.978099,2,67.000000,1,545.978099,6.609000,552.587099,0.000000,6.609000,1.000000,1255.710000,25-26
44,440,87cf57,559.091549,4,436.000000,1,1054.747478,290.530000,1345.277478,495.655929,786.185929,2.706040,110401.400000,5-6 8 13
45,450,87cf57,563.553433,2,123.000000,1,563.553433,62.080000,625.633433,0.000000,62.080000,1.000000,11795.200000,25-26
46,460,87cf57,571.931821,1,580.000000,1,625.478478,386.480000,1011.958478,53.546658,440.026658,1.138550,36715.600000,29
47,470,87cf57,581.605922,2,67.000000,1,600.748478,6.609000,607.357478,19.142557,25.751557,3.896438,1255.710000,28-29
48,480,87cf57,603.766950,8,269.000000,1,1345.277478,179.080000,1524.357478,741.510529,920.590529,5.140666,136100.800000,5-6 8 13 16-17 25-26
49,490,87cf57,613.095100,1,149.000000,1,642.930321,88.510000,731.440321,29.835220,118.345220,1.337083,8408.450000,30
50,500,87cf57,627.753679,2,123.000000,1,720.068295,62.080000,782.148295,92.314615,154.394615,2.487027,11795.200000,5-6
51,510,87cf57,641.457422,2,399.000000,1,783.154349,265.800000,1048.954349,141.696928,407.496928,1.533096,50502.000000,17 30
52,520,87cf57,665.603059,2,212.000000,1,822.073295,140.950000,963.023295,156.470235,297.420235,2.110112,26780.500000,5-6
53,530,87cf57,667.277360,2,67.000000,1,736.491063,6.609000,743.100063,69.213703,75.822703,11.472644,1255.710000,8 13
54,540,87cf57,683.308561,2,399.000000,1,1048.954349,265.800000,1314.754349,365.645789,631.445789,2.375643,50502.000000,17 30
55,550,87cf57,694.644349,1,149.000000,1,694.644349,88.510000,783.154349,0.000000,88.510000,1.000000,8408.450000,17
56,560,87cf57,708.052138,4,64.000000,1,916.163433,3.993000,920.156433,208.111295,212.104295,53.119032,1517.340000,8 14 25-26
57,570,87cf57,711.068088,2,67.000000,1,743.100063,6.609000,749.709063,32.031975,38.640975,5.846720,1255.710000,8 13
58,580,87cf57,728.146984,1,70.000000,1,731.440321,9.257000,740.697321,3.293337,12.550337,1.355767,879.415000,30
59,590,87cf57,751.608266,2,123.000000,1,822.073295,62.080000,884.153295,70.465029,132.545029,2.135068,11795.200000,8 13
60,600,87cf57,772.937992,2,212.000000,1,1054.747478,140.950000,1195.697478,281.809486,422.759486,2.999358,26780.500000,14-15
61,610,87cf57,782.027408,2,399.000000,1,1347.104494,265.800000,1612.904494,565.077086,830.877086,3.125948,50502.000000,0-1
62,620,87cf57,801.669224,1,149.000000,1,801.669224,88.510000,890.179224,0.000000,88.510000,1.000000,8408.450000,31
63,630,87cf57,806.288824,1,420.000000,1,890.179224,279.990000,1170.169224,83.890400,363.880400,1.299619,26599.050000,31
64,640,87cf57,809.359933,2,67.000000,1,884.153295,6.609000,890.762295,74.793362,81.402362,12.316895,1255.710000,8 13
65,650,87cf57,817.327764,1,70.000000,1,890.762295,9.257000,900.019295,73.434531,82.691531,8.932865,879.415000,8
66,660,87cf57,825.281546,1,149.000000,1,890.762295,88.510000,979.272295,65.480748,153.990748,1.739812,8408.450000,13
67,670,87cf57,836.033377,1,580.000000,1,964.470478,386.480000,1350.950478,128.437101,514.917101,1.332325,36715.600000,28
68,680,87cf57,857.168028,4,77.000000,1,920.156433,16.684000,936.840433,62.988405,79.672405,4.775378,6339.920000,8 14 25-26
69,690,87cf57,861.417080,1,70.000000,1,900.019295,9.257000,909.276295,38.602214,47.859214,5.170057,879.415000,8
70,700,87cf57,881.541288,2,212.000000,1,1054.747478,140.950000,1195.697478,173.206190,314.156190,2.228848,26780.500000,16 25
71,710,87cf57,904.843545,2,212.000000,1,1069.488478,140.950000,1210.438478,164.644933,305.594933,2.168109,26780.500000,0-1
72,720,87cf57,924.518927,1,70.000000,1,924.518927,9.257000,933.775927,0.000000,9.257000,1.000000,879.415000,28
73,730,87cf57,955.760165,4,436.000000,1,1488.054494,290.530000,1778.584494,532.294330,822.824330,2.832149,110401.400000,14-15 28-29
74,740,87cf57,967.052662,1,70.000000,1,979.272295,9.257000,988.529295,12.219633,21.476633,2.320042,879.415000,13
75,750,87cf57,975.146223,1,580.000000,1,1011.958478,386.480000,1398.438478,36.812256,423.292256,1.095250,36715.600000,29
76,760,87cf57,994.423274,1,420.000000,1,1045.180478,279.990000,1325.170478,50.757204,330.747204,1.181282,26599.050000,26
77,770,87cf57,995.991187,4,77.000000,1,1326.427494,16.684000,1343.111494,330.436307,347.120307,20.805581,6339.920000,0-1 17 26
78,780,87cf57,1020.628181,2,891.000000,1,1524.357478,593.590000,2117.947478,503.729297,1097.319297,1.848615,112782.100000,5-6
79,790,87cf57,1028.842748,4,228.000000,1,1524.357478,151.940000,1676.297478,495.514731,647.454731,4.261253,57737.200000,8 13 16-17
80,800,87cf57,1033.429016,2,212.000000,1,1195.697478,140.950000,1336.647478,162.268462,303.218462,2.151248,26780.500000,14-15
81,810,87cf57,1057.293576,2,891.000000,1,1524.357478,593.590000,2117.947478,467.063902,1060.653902,1.786846,112782.100000,25-26
82,820,87cf57,1069.693233,2,67.000000,1,1195.697478,6.609000,1202.306478,126.004246,132.613246,20.065554,1255.710000,16 25
83,830,87cf57,1084.274231,2,212.000000,1,1202.306478,140.950000,1343.256478,118.032248,258.982248,1.837405,26780.500000,16 25
84,840,87cf57,1090.526189,4,64.000000,1,1343.111494,3.993000,1347.104494,252.585305,256.578305,64.257026,1517.340000,0-1 14-15
85,850,87cf57,1099.476746,4,436.000000,1,1676.297478,290.530000,1966.827478,576.820732,867.350732,2.985409,110401.400000,0-1 8 13
86,860,87cf57,1122.072505,2,123.000000,1,1210.438478,62.080000,1272.518478,88.365973,150.445973,2.423421,11795.200000,0-1
87,870,87cf57,1133.261725,2,67.000000,1,1272.518478,6.609000,1279.127478,139.256753,145.865753,22.070775,1255.710000,0-1
88,880,87cf57,1149.309351,8,70.000000,1,1955.604494,9.567000,1965.171494,806.295143,815.862143,85.278786,7270.920000,14-17 28-31
89,890,87cf57,1162.605744,2,399.000000,1,1676.297478,265.800000,1942.097478,513.691735,779.491735,2.932625,50502.000000,16-17
90,900,87cf57,1177.531066,2,67.000000,1,1279.127478,6.609000,1285.736478,101.596412,108.205412,16.372433,1255.710000,0-1
91,910,87cf57,1181.918840,8,269.000000,1,1965.171494,179.080000,2144.251494,783.252655,962.332655,5.373758,136100.800000,14-17 28-31
92,920,87cf57,1208.770853,2,87.000000,1,1285.736478,26.481000,1312.217478,76.965626,103.446626,3.906447,5031.390000,0-1
