date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
900,12,9472,923.296
900.019,12,9472,923.276
900.019,11,9397,919.167
904.844,11,9397,914.343
904.844,12,9831,941.468
909.276,12,9831,937.035
909.276,12,9831,932.926
916.163,12,9831,926.47
916.163,11,9555,888.852
920.156,11,9555,885.109
920.156,10,9227,868.857
924.519,10,9227,864.767
924.519,10,9227,869.455
933.776,10,9227,860.198
933.776,10,9227,856.089
936.84,10,9227,853.216
936.84,10,9227,836.887
955.76,10,9227,823.879
955.76,11,10991,934.129
963.023,11,10991,929.136
963.023,11,10991,919.63
964.47,11,10991,918.816
964.47,9,9238,845.515
967.053,9,9238,842.932
967.053,10,9313,847.62
975.146,10,9313,839.526
975.146,11,9898,876.089
979.272,11,9898,871.963
979.272,10,9823,867.87
988.529,10,9823,858.613
988.529,10,9823,854.504
994.423,10,9823,848.978
994.423,11,10248,875.541
995.991,11,10248,874.071
995.991,12,10576,894.571
1011.96,12,10576,879.601
1011.96,11,9991,867.194
1020.63,11,9991,859.066
1020.63,12,11783,971.066
1028.84,12,11783,963.365
1028.84,13,12715,1021.61
1033.43,13,12715,1017.32
1033.43,14,13149,1044.44
1045.18,14,13149,1033.42
1045.18,12,12124,1073.53
1048.95,12,12124,1069.75
1048.95,11,11316,1052.48
1054.75,11,11316,1046.69
1054.75,8,8684,1040.72
1057.29,8,8684,1038.17
1057.29,9,10476,1150.17
1069.49,9,10476,1137.98
1069.49,8,10042,1100.18
1069.69,8,10042,1099.97
1069.69,9,10186,1108.97
1084.27,9,10186,1094.39
1084.27,10,10620,1121.52
1090.53,10,10620,1115.26
1090.53,11,10896,1132.51
1099.48,11,10896,1123.56
1099.48,12,12660,1233.81
1122.07,12,12660,1211.22
1122.07,13,12916,1227.22
1133.26,13,12916,1216.03
1133.26,14,13060,1225.03
1149.31,14,13060,1208.98
1149.31,15,13660,1246.48
1162.61,15,13660,1233.19
1162.61,16,14468,1283.69
1170.17,16,14468,1276.12
1170.17,16,14468,1267.06
1177.53,16,14468,1260.16
1177.53,17,14612,1269.16
1181.92,17,14612,1265.04
1181.92,18,16804,1402.04
1195.7,18,16804,1389.13
1195.7,17,16370,1379.62
1195.7,16,16226,1370.11
1200,16,16226,1229.08
1200,16,16226,1366.08
1202.31,16,16226,1363.92
1202.31,15,15792,1355.74
1208.77,15,15792,1349.68
1208.77,16,15976,1361.18
1210.44,16,15976,1359.62
1210.44,15,15720,1350.11
1232.01,15,15720,1329.89
1232.01,15,15720,1356.45
1232.96,15,15720,1355.5
1232.96,16,16154,1382.63
1246.91,16,16154,1368.67
1246.91,17,16579,1395.24
1267.06,17,16579,1375.09
1267.06,18,17164,1411.65
1272.52,18,17164,1406.19
1272.52,17,17020,1397.95
1273.07,17,17020,1397.4
1273.07,18,17095,1402.09
1279.13,18,17095,1396.03
1279.13,17,16951,1387.86
1285.74,17,16951,1381.25
1285.74,16,16767,1373.08
1287.15,16,16767,1371.66
1287.15,17,16842,1376.35
1300.47,17,16842,1363.03
1300.47,18,18010,1436.03
1312.22,18,18010,1424.28
1312.22,16,17860,1416.09
1314.75,16,17860,1413.56
1314.75,16,17860,1396.28
1319.82,16,17860,1391.85
1319.82,16,17860,1400.85
1321.47,16,17860,1399.19
1321.47,16,17860,1395.08
1321.47,16,17860,1390.98
1325.17,16,17860,1387.74
1325.17,16,17860,1378.68
1325.57,16,17860,1378.36
1325.57,17,19624,1488.61
1326.43,17,19624,1487.91
1326.43,15,18871,1479.73
1336.65,15,18871,1469.51
1336.65,15,18871,1460.01
1341.52,15,18871,1455.74
1341.52,16,19305,1482.87
1343.11,16,19305,1481.48
1343.11,15,19029,1465.15
1343.26,15,19029,1465.02
1343.26,15,19029,1455.51
1345.28,15,19029,1454
1345.28,14,16837,1329.88
1347.1,14,16837,1328.05
1347.1,12,15595,1371.55
1350.95,12,15595,1367.71
1350.95,12,15595,1355.3
1353.11,12,15595,1353.28
1353.11,13,17387,1465.28
1366.92,13,17387,1452.33
1366.92,14,19179,1564.33
1377.33,14,19179,1554.57
1377.33,15,19604,1581.13
1390.02,15,19604,1569.24
1390.02,16,21796,1706.24
1398.44,16,21796,1698.34
1398.44,16,21796,1685.93
1414.99,16,21796,1671.45
1414.99,16,21796,1682.95
1425,16,21796,1672.94
1425,17,22604,1723.44
1438.96,17,22604,1709.48
1438.96,18,23029,1736.04
1441.47,18,23029,1733.53
1441.47,18,23029,1725.34
1455.41,18,23029,1713.15
1455.41,19,24821,1825.15
1473.93,19,24821,1808.94
1473.93,20,25149,1829.44
1475.45,20,25149,1828.11
1475.45,21,26605,1919.11
1488.05,21,26605,1908.08
1488.05,20,24841,1900.33
1488.74,20,24841,1899.64
1488.74,21,26605,2009.89
1500,21,26605,1886.63
1500,21,26605,1998.63
1500.95,21,26605,1997.68
1500.95,22,26680,2002.36
1512,22,26680,1991.32
1512,21,26095,1982.26
1515.13,21,26095,1979.12
1515.13,22,27887,2091.12
1524.36,22,27887,2081.9
1524.36,19,23371,2032.69
1530.64,19,23371,2026.4
1530.64,20,23525,2036.03
1546.89,20,23525,2019.78
1546.89,21,24110,2056.35
1559.89,21,24110,2043.35
1559.89,22,25042,2101.6
1568.28,22,25042,2093.2
1568.28,23,25117,2097.89
1580.2,23,25117,2085.97
1580.2,24,25192,2090.66
1596.97,24,25192,2073.89
1596.97,25,26984,2185.89
1606.42,25,26984,2176.44
1606.42,24,26559,2167.38
1607.56,24,26559,2166.24
1607.56,25,27367,2216.74
1612.9,25,27367,2211.39
1612.9,23,27217,2194.11
1617.04,23,27217,2189.97
1617.04,24,27651,2217.1
1622.16,24,27651,2211.98
1622.16,23,27576,2207.87
1622.16,23,27576,2203.76
1631.42,23,27576,2195.09
1631.42,23,27576,2190.98
1637.48,23,27576,2185.67
1637.48,24,28161,2222.23
1646.74,24,28161,2214.14
1646.74,25,28586,2240.7
1650.85,25,28586,2237.1
1650.85,26,30298,2344.1
1674.3,26,30298,2323.58
1674.3,27,31210,2380.58
1676.3,27,31210,2378.83
1676.3,25,28638,2285.82
1680.62,25,28638,2281.5
1680.62,26,29072,2308.62
1698.31,26,29072,2290.93
1698.31,27,29348,2308.18
1715.2,27,29348,2291.29
1715.2,28,29933,2327.85
1739.57,28,29933,2303.48
1739.57,29,30117,2314.98
1759.05,29,30117,2295.5
1759.05,30,30729,2333.75
1764.37,30,30729,2328.43
1764.37,31,30873,2337.43
1775.97,31,30873,2325.84
1775.97,32,31057,2337.34
1778.58,32,31057,2334.72
1778.58,30,30469,2297.1
1783.29,30,30469,2292.69
1783.29,31,30653,2304.19
1800,31,30653,2251.02
1800,31,30653,2288.52
1817.44,31,30653,2272.18
1817.44,32,31461,2322.68
1838.38,32,31461,2303.04
1838.38,32,31461,2312.67
1849.1,32,31461,2301.95
1849.1,33,32269,2352.45
1850.95,33,32269,2350.59
1850.95,34,32673,2375.84
1864.63,34,32673,2362.16
1864.63,35,32827,2371.79
1867.09,35,32827,2369.33
1867.09,34,32673,2365.24
1867.77,34,32673,2364.56
1867.77,35,33481,2415.06
1883.42,35,33481,2399.41
1883.42,36,34649,2472.41
1886.41,36,34649,2469.42
1886.41,36,34649,2460.36
1897.54,36,34649,2449.92
1897.54,37,35053,2475.17
1898.48,37,35053,2474.29
1898.48,36,34869,2461.88
1911.14,36,34869,2449.23
1911.14,37,36661,2561.23
1919.53,37,36661,2552.83
1919.53,36,36517,2543.32
1924.32,36,36517,2538.54
1924.32,37,36701,2550.04
1924.96,37,36701,2549.4
1924.96,36,36517,2541.21
1926.14,36,36517,2540.02
1926.14,35,36333,2531.85
1926.89,35,36333,2531.11
1926.89,35,36333,2527.01
1941.09,35,36333,2513.7
1941.09,36,36737,2538.95
1942.1,36,36737,2538
1942.1,36,36737,2520.73
1947.72,36,36737,2516.16
1947.72,37,37281,2550.16
1951.44,37,37281,2547.14
1951.44,36,37005,2538.95
1952.62,36,37005,2537.84
1952.62,36,37005,2529.65
1955.43,36,37005,2527.36
1955.43,36,37005,2511.11
1955.6,36,37005,2511.02
1955.6,35,36405,2606.42
1965.17,35,36405,2596.86
1965.17,34,34213,2500.14
1966.83,34,34213,2498.48
1966.83,33,33885,2460.87
1971.48,33,33885,2456.21
1971.48,34,34039,2465.84
1974.52,34,34039,2462.8
1974.52,35,34183,2471.8
1983.51,35,34183,2462.81
1983.51,34,33251,2446.48
1992.53,34,33251,2437.46
1992.53,35,33435,2448.96
1997.14,35,33435,2444.35
1997.14,36,33579,2453.35
2014.43,36,33579,2436.06
2014.43,37,33723,2445.06
2023.46,37,33723,2436.03
2023.46,38,35515,2548.03
2047.48,38,35515,2524.01
2047.48,39,35659,2533.01
2052.47,39,35659,2528.02
2052.47,40,35843,2539.52
2065.32,40,35843,2526.67
2065.32,41,38419,2687.67
2082.81,41,38419,2670.18
2082.81,42,38494,2674.87
2095.68,42,38494,2662
2095.68,43,38919,2688.56
2100,43,38919,2611.24
2100,43,38919,2684.24
2101.19,43,38919,2683.05
2101.19,44,38994,2687.74
2117.95,44,38994,2670.98
2117.95,43,37202,2633.18
2117.95,42,37018,2595.38
2120.68,42,37018,2592.65
2120.68,43,37093,2597.34
2129.14,43,37093,2588.87
2129.14,44,37237,2597.87
2135.16,44,37237,2591.85
2135.16,45,37493,2607.85
2135.45,45,37493,2607.56
2135.45,44,37089,2587.3
2144.25,44,37089,2578.5
2144.25,43,35921,2568.29
2144.43,43,35921,2568.11
2144.43,42,35777,2559.92
2146.79,42,35777,2557.56
2146.79,43,36033,2573.56
2151.04,43,36033,2569.31
2151.04,42,35889,2561.14
2157.65,42,35889,2554.53
2157.65,41,35745,2546.35
2164.26,41,35745,2539.74
2164.26,40,35601,2531.57
2170.86,40,35601,2524.96
2170.86,40,35601,2516.79
2171.38,40,35601,2516.33
2171.38,38,32045,2526.82
2174.85,38,32045,2523.36
2174.85,39,33837,2635.36
2187.19,39,33837,2623.01
2187.19,40,34449,2661.26
2204.77,40,34449,2643.68
2204.77,41,34883,2670.81
2217.84,41,34883,2657.73
2217.84,42,35027,2666.73
2224.96,42,35027,2659.61
2224.96,41,32835,2540.47
2225.89,41,32835,2539.54
2225.89,42,33420,2576.1
2249,42,33420,2553
2249,43,34005,2589.56
2274.1,43,34005,2564.46
2274.1,44,34430,2591.02
2282.36,44,34430,2582.76
2282.36,45,35362,2641.01
2301.22,45,35362,2622.15
2301.22,46,35618,2638.15
2313.92,46,35618,2625.45
2313.92,47,36203,2662.02
2330.61,47,36203,2645.32
2330.61,48,36803,2682.82
2341.78,48,36803,2671.65
2341.78,49,37971,2744.65
2358.84,49,37971,2727.59
2358.84,50,38571,2765.09
2363.07,50,38571,2760.86
2363.07,51,38899,2781.36
2366.1,51,38899,2778.33
2366.1,52,39083,2789.83
2382.47,52,39083,2773.46
2382.47,53,39227,2782.46
2400,53,39227,2714.43
2400,53,39227,2764.93
2404.04,53,39227,2760.89
2404.04,48,33825,2753.93
2404.63,48,33825,2753.34
2404.63,49,34437,2791.59
2438.44,49,34437,2757.78
2438.44,50,35349,2814.78
2453.4,50,35349,2799.82
2453.4,51,36261,2856.82
2459.23,51,36261,2850.99
2459.23,52,36695,2878.11
2461.91,52,36695,2875.43
2461.91,51,34931,2837.81
2472.94,51,34931,2826.79
2472.94,52,36723,2938.79
2497.09,52,36723,2914.64
2497.09,53,37939,2990.64
2512.16,53,37939,2975.56
2512.16,54,38083,2984.56
2524.36,54,38083,2972.37
2524.36,55,38487,2997.62
2526.39,55,38487,2995.59
2526.39,56,39072,3032.15
2536.55,56,39072,3021.99
2536.55,57,39147,3026.68
2562.48,57,39147,3000.75
2562.48,58,39222,3005.44
2578.74,58,39222,2989.17
2578.74,59,39550,3009.67
2598.7,59,39550,2989.72
2598.7,60,41314,3099.97
2604.28,60,41314,3094.38
2604.28,61,41570,3110.38
2614.99,61,41570,3099.68
2614.99,62,41826,3115.68
2618.28,62,41826,3112.39
2618.28,63,41970,3121.39
2623.61,63,41970,3116.06
2623.61,64,44162,3253.06
2644.56,64,44162,3232.11
2644.56,65,45954,3344.11
2650.01,65,45954,3338.65
2650.01,66,46282,3359.15
2655.28,66,46282,3353.88
2655.28,67,46610,3374.38
2662.39,67,46610,3367.27
2662.39,68,48402,3479.27
2669.84,68,48402,3471.82
