time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1577.54,0,0,0,7,25
1580.2,0,0,0,6,26
1589.46,0,0,0,7,25
1614.22,0,0,0,9,23
1619.15,0,0,0,10,22
1637.48,0,0,0,9,23
1650.88,0,0,0,11,21
1653.54,0,0,0,12,20
1653.56,0,0,0,16,16
1653.56,0,0,0,0,32
1657.32,0,0,0,1,31
1657.32,0,0,0,0,32
1679.46,0,0,0,16,16
1679.46,0,0,0,12,20
1679.46,0,0,0,10,22
1679.46,0,0,0,8,24
1679.46,0,0,0,6,26
1679.46,0,0,0,4,28
1680.62,0,0,0,2,30
1690.8,0,0,0,4,28
1698.31,0,0,0,0,32
1702.31,0,0,0,4,28
1721.04,0,0,0,8,24
1721.04,0,0,0,0,32
1721.46,0,0,0,1,31
1769.84,0,0,0,9,23
1769.84,0,0,0,7,25
1769.84,0,0,0,3,29
1769.84,0,0,0,1,31
1776.44,0,0,0,3,29
1776.44,0,0,0,1,31
1796.32,0,0,0,3,29
1796.32,0,0,0,1,31
1802.93,0,0,0,3,29
1820.41,0,0,0,5,27
1821.57,0,0,0,7,25
1822.8,0,0,0,9,23
1838.38,0,0,0,8,24
1850.95,0,0,0,4,28
1857.53,0,0,0,8,24
1864.63,0,0,0,7,25
1886.89,0,0,0,11,21
1886.89,0,0,0,3,29
1924.32,0,0,0,1,31
1926.89,0,0,0,2,30
1933.37,0,0,0,3,29
1933.37,0,0,0,2,30
1937.31,0,0,0,3,29
1945.26,0,0,0,5,27
1950.8,0,0,0,7,25
1953.14,0,0,0,8,24
1953.14,0,0,0,0,32
1955.47,0,0,0,8,24
1963.23,0,0,0,10,22
1963.23,0,0,0,8,24
1967.5,0,0,0,10,22
1967.5,0,0,0,8,24
1967.6,0,0,0,16,16
1967.6,0,0,0,0,32
1969.99,0,0,0,4,28
1969.99,0,0,0,2,30
1974.52,0,0,0,0,32
1981.13,0,0,0,2,30
1997.14,0,0,0,0,32
2003.75,0,0,0,2,30
2009.59,0,0,0,18,14
2009.59,0,0,0,14,18
2009.59,0,0,0,12,20
2009.59,0,0,0,8,24
2009.59,0,0,0,7,25
2009.59,0,0,0,5,27
2014.43,0,0,0,3,29
2021.04,0,0,0,5,27
2023.46,0,0,0,3,29
2023.96,0,0,0,4,28
2036.07,0,0,0,6,26
2045.53,0,0,0,10,22
2045.53,0,0,0,14,18
2047.48,0,0,0,12,20
2049,0,0,0,14,18
2052.47,0,0,0,12,20
2054.09,0,0,0,14,18
2078.95,0,0,0,16,16
2078.95,0,0,0,0,32
2098.1,0,0,0,1,31
2098.1,0,0,0,0,32
2107.36,0,0,0,1,31
2107.36,0,0,0,0,32
2174.51,0,0,0,16,16
2174.51,0,0,0,15,17
2174.51,0,0,0,14,18
2174.51,0,0,0,12,20
2174.51,0,0,0,10,22
2174.51,0,0,0,8,24
2174.85,0,0,0,6,26
2181.12,0,0,0,8,24
2183.77,0,0,0,9,23
2183.77,0,0,0,10,22
2187.19,0,0,0,6,26
2204.77,0,0,0,4,28
2217.84,0,0,0,2,30
2224.45,0,0,0,4,28
2225.89,0,0,0,3,29
2229.03,0,0,0,5,27
2233.3,0,0,0,7,25
2235.79,0,0,0,9,23
2236.59,0,0,0,11,21
2236.59,0,0,0,13,19
2249,0,0,0,12,20
2273.05,0,0,0,14,18
2273.05,0,0,0,16,16
2274.1,0,0,0,15,17
2274.88,0,0,0,19,13
2282.36,0,0,0,15,17
2301.22,0,0,0,13,19
2313.92,0,0,0,12,20
2319.85,0,0,0,13,19
2330.61,0,0,0,5,27
2340.18,0,0,0,13,19
2341.78,0,0,0,5,27
2345.72,0,0,0,7,25
2363.3,0,0,0,9,23
2363.3,0,0,0,1,31
2372.87,0,0,0,9,23
2372.87,0,0,0,5,27
2372.87,0,0,0,3,29
2382.47,0,0,0,1,31
2387.35,0,0,0,2,30
2389.08,0,0,0,4,28
2389.55,0,0,0,8,24
2399.35,0,0,0,10,22
2404.63,0,0,0,6,26
2422.49,0,0,0,14,18
2434.3,0,0,0,18,14
2438.44,0,0,0,10,22
2453.4,0,0,0,2,30
2459.23,0,0,0,0,32
2487.24,0,0,0,8,24
2487.24,0,0,0,6,26
2492.32,0,0,0,10,22
2502.2,0,0,0,18,14
2502.2,0,0,0,2,30
2512.16,0,0,0,0,32
2512.55,0,0,0,16,16
2518.77,0,0,0,18,14
2524.36,0,0,0,14,18
2526.39,0,0,0,13,19
2536.55,0,0,0,12,20
2545.8,0,0,0,13,19
2554.09,0,0,0,14,18
2560.29,0,0,0,18,14
2562.48,0,0,0,17,15
2571.73,0,0,0,18,14
2578.74,0,0,0,14,18
2595.42,0,0,0,18,14
2598.7,0,0,0,14,18
2600.18,0,0,0,16,16
2603.18,0,0,0,18,14
2604.28,0,0,0,16,16
2612.37,0,0,0,17,15
2614.99,0,0,0,15,17
2617.05,0,0,0,17,15
2618.28,0,0,0,15,17
2623.61,0,0,0,7,25
2624.89,0,0,0,9,23
2635.48,0,0,0,10,22
2644.56,0,0,0,8,24
2650.01,0,0,0,4,28
2655.28,0,0,0,0,32
2666.36,0,0,0,2,30
2666.36,0,0,0,0,32
2666.7,0,0,0,4,28
2671.15,0,0,0,2,30
2671.97,0,0,0,6,26
2677.07,0,0,0,8,24
2689.85,0,0,0,0,32
2700.4,0,0,0,1,31
2768.44,0,0,0,3,29
2770.56,0,0,0,11,21
2770.56,0,0,0,3,29
2770.56,0,0,0,1,31
2772.89,0,0,0,9,23
2772.89,0,0,0,7,25
2772.89,0,0,0,5,27
2772.89,0,0,0,3,29
2777.49,0,0,0,1,31
2779.5,0,0,0,3,29
2779.5,0,0,0,5,27
2784.1,0,0,0,7,25
2791.96,0,0,0,6,26
2797.04,0,0,0,8,24
2802.69,0,0,0,16,16
2805.08,0,0,0,15,17
2812.1,0,0,0,17,15
2818.09,0,0,0,16,16
2827.32,0,0,0,15,17
2827.34,0,0,0,16,16
2843.74,0,0,0,14,18
2857.39,0,0,0,13,19
2872.97,0,0,0,11,21
2889.23,0,0,0,15,17
2892.68,0,0,0,13,19
2899.29,0,0,0,15,17
2901.28,0,0,0,14,18
2912.87,0,0,0,15,17
2913.84,0,0,0,17,15
2914.1,0,0,0,13,19
2923.9,0,0,0,12,20
2933.15,0,0,0,13,19
2939.94,0,0,0,12,20
2944.59,0,0,0,11,21
2945.9,0,0,0,12,20
2947.98,0,0,0,10,22
2972.17,0,0,0,9,23
2988.17,0,0,0,5,27
2998.06,0,0,0,3,29
3013.92,0,0,0,5,27
3024.1,0,0,0,9,23
3024.1,0,0,0,1,31
3033.1,0,0,0,2,30
3035.33,0,0,0,0,32
3060.14,0,0,0,2,30
3060.14,0,0,0,0,32
3072.9,0,0,0,8,24
3072.9,0,0,0,6,26
3072.9,0,0,0,2,30
3076.9,0,0,0,6,26
3080.83,0,0,0,8,24
3085.07,0,0,0,9,23
3088.93,0,0,0,11,21
3099.44,0,0,0,9,23
3109.54,0,0,0,11,21
3115.55,0,0,0,7,25
3127.07,0,0,0,6,26
3136.33,0,0,0,7,25
3150.53,0,0,0,6,26
3162.74,0,0,0,5,27
3169,0,0,0,1,31
3172.99,0,0,0,5,27
3178.44,0,0,0,6,26
3198.08,0,0,0,4,28
3203.24,0,0,0,8,24
3204.63,0,0,0,12,20
3213.8,0,0,0,13,19
3213.81,0,0,0,12,20
3223.06,0,0,0,13,19
3237.63,0,0,0,11,21
