date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
724.322,5,4518,464.353
724.322,4,4242,456.276
728.147,4,4242,452.451
728.147,5,4317,455.13
728.315,5,4317,454.962
728.315,4,4242,449.572
729.315,4,4242,448.692
729.315,4,4242,443.951
737.572,4,4242,437.488
737.572,4,4242,436.883
737.983,4,4242,436.584
737.983,4,4242,435.938
743.505,4,4242,432.256
743.505,3,2050,345.837
743.505,3,2050,342.729
751.608,3,2050,335.012
751.608,4,2306,347.202
754.045,4,2306,344.881
754.045,2,1064,300.89
772.938,2,1064,283.257
772.938,3,1498,311.924
780,3,1498,305.234
780,3,1498,305.234
780,3,1498,305.234
780.526,3,1498,304.735
780.526,1,434,241.563
782.027,1,434,240.186
782.027,2,1242,302.649
783.154,2,1242,301.585
783.154,1,808,289.073
797.046,1,808,275.181
797.046,0,0,0
799.306,0,0,0
799.306,0,0,0
801.669,0,0,0
801.669,1,154,199.316
805.406,1,154,195.579
805.406,1,154,186.35
806.289,1,154,185.467
806.289,2,579,226.755
809.36,2,579,223.684
809.36,3,723,233.284
817.328,3,723,225.316
817.328,4,798,230.316
825.282,4,798,222.362
825.282,5,952,232.042
836.033,5,952,221.29
836.033,6,1537,254.45
840,6,1537,250.484
840,6,1537,251.882
840,6,1537,259.582
842.606,6,1537,256.976
842.606,5,1383,252.621
848.706,5,1383,246.521
848.706,5,1383,246.521
849.995,5,1383,245.232
849.995,4,958,223.788
857.168,4,958,216.615
857.168,5,1286,236
861.417,5,1286,231.751
861.417,6,1361,235.698
881.541,6,1361,215.574
881.541,7,1795,238.416
894.995,7,1795,224.963
894.995,6,1651,213.326
900,6,1651,208.321
900,6,1651,208.321
900,6,1651,208.321
901.604,6,1651,206.717
901.604,4,1422,203.391
904.844,4,1422,200.151
904.844,5,1856,224.262
910.861,5,1856,218.245
910.861,4,1271,203.178
922.585,4,1271,191.454
922.585,1,434,118.56
924.104,1,434,117.21
924.104,0,0,0
924.519,0,0,0
924.519,0,0,0
931.116,0,0,0
931.116,0,0,0
931.842,0,0,0
931.842,0,0,0
933.394,0,0,0
933.394,0,0,0
933.776,0,0,0
933.776,0,0,0
939.269,0,0,0
939.269,0,0,0
955.76,0,0,0
955.76,0,0,0
956.926,0,0,0
956.926,0,0,0
957.809,0,0,0
957.809,0,0,0
958.412,0,0,0
958.412,0,0,0
960,0,0,0
960,0,0,0
960,0,0,0
963.909,0,0,0
963.909,0,0,0
964.512,0,0,0
964.512,0,0,0
967.053,0,0,0
967.053,1,75,181.453
975.146,1,75,173.36
975.146,2,660,226.822
990.114,2,660,211.855
990.114,1,585,207.134
994.423,1,585,202.825
994.423,2,1010,224.134
995.991,2,1010,222.566
995.991,3,1338,233.503
999.371,3,1338,230.123
999.371,2,753,199.137
1019.84,2,753,178.663
1019.85,1,328,148.285
1020,1,328,148.145
1020,1,328,148.145
1020,1,328,148.145
1020.63,1,328,147.58
1020.63,2,2120,262.362
1028.84,2,2120,254.579
1028.84,3,3052,303.632
1033.43,3,3052,299.287
1033.43,4,3486,322.129
1046.33,4,3486,309.911
1046.33,4,3486,295.364
1057.1,4,3486,286.287
1057.11,3,3158,261.976
1057.11,2,1366,175.087
1057.29,2,1366,174.91
1057.29,3,3158,282.839
1062.85,3,3158,277.613
1062.85,3,3158,263.259
1063.53,3,3158,262.691
1063.54,2,2226,233.405
1065.05,2,2226,231.965
1065.05,1,1792,221.954
1069.69,1,1792,217.625
1069.69,2,1936,227.144
1073.79,2,1936,223.264
1073.79,0,0,0
1080,0,0,0
1080,0,0,0
1080,0,0,0
1080.4,0,0,0
1080.4,0,0,0
1084.27,0,0,0
1084.27,0,0,0
1090.53,0,0,0
1090.53,1,276,99.2405
1099.48,1,276,91.7817
1099.48,2,2040,229.57
1118.57,2,2040,211.429
1118.57,2,2040,211.155
1122.07,2,2040,208.005
1122.07,3,2296,220.805
1126.67,3,2296,216.67
1126.67,2,2020,246.322
1129.98,2,2020,243.003
1129.98,2,2020,234.332
1130.66,2,2020,233.7
1130.66,1,256,70.2898
1133.26,1,256,68.2078
1133.26,2,400,97.0078
