time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1215.57,1,1,0,11,19
1215.57,1,1,0,9,21
1215.57,1,1,0,1,29
1225.22,1,1,0,3,27
1231.52,1,0,0,4,27
1231.52,1,0,4,0,27
1232.01,0,1,4,0,27
1237.62,4,1,0,0,27
1237.62,1,4,0,0,27
1242.05,1,4,0,2,25
1242.05,1,4,0,1,26
1246.29,1,4,0,5,22
1246.29,1,4,0,3,24
1246.91,1,4,0,2,25
1267.06,1,4,0,1,26
1273.07,1,4,0,0,27
1282.33,1,4,0,1,26
1287.15,1,4,0,0,27
1296.41,1,4,0,1,26
1297.34,1,4,0,2,25
1299.83,1,4,0,3,24
1319.82,1,4,0,1,26
1326.43,1,4,0,3,24
1383.53,1,3,0,4,24
1383.53,1,3,0,3,25
1385.85,1,3,0,4,24
1387.24,1,3,0,6,22
1389.14,1,0,0,9,22
1389.14,1,0,0,1,30
1389.14,1,0,1,0,30
1394.65,1,0,1,8,22
1394.65,1,0,1,4,26
1394.65,1,0,1,2,28
1394.65,1,0,1,0,30
1395.24,2,0,0,0,30
1421.19,2,0,0,4,26
1421.19,2,0,0,2,28
1421.19,2,0,0,0,30
1438.96,1,1,0,0,30
1440,0,2,0,0,30
1447.67,0,2,0,2,28
1447.67,0,2,0,1,29
1469.85,0,2,0,9,21
1469.85,0,2,0,1,29
1481.27,0,2,0,3,27
1481.27,0,2,0,1,29
1500.95,0,2,0,0,30
1510.21,0,2,0,1,29
1522.04,0,2,0,2,28
1522.04,0,2,0,0,30
1526.9,0,2,0,1,29
1535.6,0,2,0,3,27
1590.48,0,1,0,4,27
1590.48,0,1,0,0,31
1591.52,0,0,0,1,31
1591.52,0,0,0,0,32
1607.16,0,0,0,4,28
1607.16,0,0,0,3,29
1607.16,0,0,0,2,30
1616.42,0,0,0,3,29
1616.42,0,0,0,4,28
1617.04,0,0,0,2,30
1648.93,0,0,0,10,22
1650.69,0,0,0,12,20
1653.54,0,0,0,13,19
1663.52,0,0,0,14,18
1663.52,0,0,0,13,19
1667.38,0,0,0,15,17
1680.03,0,0,0,16,16
1680.03,0,0,0,0,32
1685.18,0,0,0,4,28
1685.18,0,0,0,0,32
1705.93,0,0,0,16,16
1705.93,0,0,0,14,18
1705.93,0,0,0,10,22
1705.93,0,0,0,8,24
1705.93,0,0,0,7,25
1705.93,0,0,0,6,26
1705.93,0,0,0,4,28
1705.93,0,0,0,2,30
1705.93,0,0,2,0,30
1712.03,2,0,0,0,30
1715.2,1,1,0,0,30
1727.66,1,1,0,1,29
1727.66,0,2,0,1,29
1747.07,0,2,0,3,27
1747.07,0,2,0,1,29
1757.99,0,2,0,3,27
1764.37,0,2,0,1,29
1770.98,0,2,0,3,27
1773.56,0,2,0,5,25
1773.56,0,2,0,1,29
1777.55,0,2,0,5,25
1777.55,0,2,0,1,29
1800,0,2,1,0,29
1806.1,1,2,0,0,29
1846.88,1,2,0,2,27
1846.88,1,2,0,0,29
1857.87,1,2,0,4,25
1857.87,1,2,0,2,27
1857.87,1,2,0,1,28
1864.63,1,2,0,0,29
1865.24,1,2,0,4,25
1865.24,1,2,0,0,29
1866.72,1,1,0,1,29
1866.72,1,1,0,0,30
1873.37,1,1,0,2,28
1879.18,1,0,0,3,28
1879.18,1,0,1,2,28
1884.36,1,0,1,4,26
1885.28,2,0,0,4,26
1897.54,2,0,0,0,30
1901.17,2,0,0,4,26
1920,1,1,0,4,26
1924.32,1,1,0,2,28
1933.47,1,1,0,6,24
1941.09,1,1,0,2,28
1946.38,1,1,0,3,27
1950.8,1,1,0,5,25
1953.14,1,1,0,6,24
1971.48,1,1,0,5,25
1971.73,1,1,0,7,23
1974.52,1,1,0,5,25
1975.71,1,1,0,9,21
1975.71,1,1,0,1,29
1977.02,1,1,0,5,25
1978.04,1,1,0,13,17
1980,0,2,0,13,17
1981.13,0,2,0,15,15
1985.92,0,2,0,16,14
1985.92,0,2,0,0,30
1988.24,0,2,0,2,28
1988.24,0,2,0,0,30
2014.78,0,2,0,2,28
2014.78,0,2,0,0,30
2021.39,0,2,0,2,28
2027.92,0,2,0,18,12
2027.92,0,2,0,16,14
2027.92,0,2,0,14,16
2027.92,0,2,0,12,18
2027.92,0,2,0,10,20
2027.92,0,2,0,2,28
2034.53,0,2,0,4,26
2047.48,0,2,0,2,28
2050,0,2,0,3,27
2054.09,0,2,0,5,25
2054.4,0,2,0,7,23
2059.99,0,2,0,8,22
2059.99,0,2,0,0,30
2071.52,0,1,0,1,30
2076.72,0,1,0,9,22
2076.72,0,1,0,7,24
2076.72,0,1,0,5,26
2076.72,0,1,0,3,28
2082.81,0,1,0,2,29
2092.07,0,1,0,3,28
2092.41,0,1,0,4,27
2101.19,0,1,0,3,28
2103.2,0,1,0,5,26
2110.45,0,1,0,6,25
2115.63,0,1,0,8,23
2115.63,0,1,1,7,23
2120.68,0,1,1,6,24
2121.73,1,1,0,6,24
2129.14,1,1,0,4,26
2129.93,1,1,0,5,25
2131.52,1,0,0,6,25
2135.75,1,0,0,8,23
