job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
0,0,87cf57,0.000000,1,149.000000,1,0.000000,88.510000,88.510000,0.000000,88.510000,1.000000,8408.450000,0
1,10,87cf57,4.709164,2,399.000000,1,4.709164,265.800000,270.509164,0.000000,265.800000,1.000000,50502.000000,1-2
2,20,87cf57,16.003927,1,420.000000,1,16.003927,279.990000,295.993927,0.000000,279.990000,1.000000,26599.050000,3
3,30,87cf57,38.836285,4,96.000000,1,38.836285,35.932000,74.768285,0.000000,35.932000,1.000000,13654.160000,4-7
4,40,87cf57,54.195921,1,149.000000,1,54.195921,88.510000,142.705921,0.000000,88.510000,1.000000,8408.450000,8
5,50,87cf57,70.350749,1,420.000000,1,70.350749,279.990000,350.340749,0.000000,279.990000,1.000000,26599.050000,9
6,60,87cf57,95.448861,4,77.000000,1,95.448861,16.684000,112.132861,0.000000,16.684000,1.000000,6339.920000,0 4-6
7,70,87cf57,121.609395,2,87.000000,1,121.609395,26.481000,148.090395,0.000000,26.481000,1.000000,5031.390000,0 4
8,80,87cf57,126.478295,2,891.000000,1,126.478295,593.590000,720.068295,0.000000,593.590000,1.000000,112782.100000,5-6
9,90,87cf57,136.018440,4,436.000000,1,136.018440,290.530000,426.548440,0.000000,290.530000,1.000000,110401.400000,7 10-12
10,100,87cf57,142.901063,2,891.000000,1,142.901063,593.590000,736.491063,0.000000,593.590000,1.000000,112782.100000,8 13
11,110,87cf57,153.505641,8,109.000000,1,153.505641,48.800000,202.305641,0.000000,48.800000,1.000000,37088.000000,0 4 14-19
12,120,87cf57,164.476903,2,87.000000,1,164.476903,26.481000,190.957903,0.000000,26.481000,1.000000,5031.390000,20-21
13,130,87cf57,168.987800,1,70.000000,1,168.987800,9.257000,178.244800,0.000000,9.257000,1.000000,879.415000,22
14,140,87cf57,179.192932,2,87.000000,1,179.192932,26.481000,205.673932,0.000000,26.481000,1.000000,5031.390000,22-23
15,150,87cf57,193.418387,2,212.000000,1,193.418387,140.950000,334.368387,0.000000,140.950000,1.000000,26780.500000,20-21
16,160,87cf57,211.616998,2,123.000000,1,211.616998,62.080000,273.696998,0.000000,62.080000,1.000000,11795.200000,0 4
17,170,87cf57,221.353478,4,148.000000,1,221.353478,87.690000,309.043478,0.000000,87.690000,1.000000,33322.200000,14-17
18,180,87cf57,222.488483,4,436.000000,1,222.488483,290.530000,513.018483,0.000000,290.530000,1.000000,110401.400000,18-19 22-23
19,190,87cf57,240.874140,16,86.000000,1,341.533655,25.905000,367.438655,100.659515,126.564515,4.885718,39375.600000,0-4 14-17 20-21 27-31
20,200,87cf57,253.023655,1,149.000000,1,253.023655,88.510000,341.533655,0.000000,88.510000,1.000000,8408.450000,27
21,210,87cf57,265.241456,8,70.000000,1,273.696998,9.567000,283.263998,8.455542,18.022542,1.883824,7270.920000,0-2 4 28-31
22,220,87cf57,283.879268,2,212.000000,1,367.438655,140.950000,508.388655,83.559386,224.509386,1.592830,26780.500000,0-1
23,230,87cf57,290.504037,4,436.000000,1,367.438655,290.530000,657.968655,76.934618,367.464618,1.264808,110401.400000,2-4 14
24,240,87cf57,302.154936,4,96.000000,1,302.154936,35.932000,338.086936,0.000000,35.932000,1.000000,13654.160000,0-3
25,250,87cf57,308.931367,2,212.000000,1,367.438655,140.950000,508.388655,58.507287,199.457287,1.415092,26780.500000,15-16
26,260,87cf57,324.440409,2,399.000000,1,367.438655,265.800000,633.238655,42.998246,308.798246,1.161769,50502.000000,17 20
27,270,87cf57,336.459321,2,87.000000,1,367.438655,26.481000,393.919655,30.979334,57.460334,2.169870,5031.390000,21 27
28,280,87cf57,346.187288,1,420.000000,1,350.340749,279.990000,630.330749,4.153461,284.143461,1.014834,26599.050000,9
29,290,87cf57,358.858397,2,891.000000,1,367.438655,593.590000,961.028655,8.580258,602.170258,1.014455,112782.100000,28-29
30,300,87cf57,378.407292,1,420.000000,1,378.407292,279.990000,658.397292,0.000000,279.990000,1.000000,26599.050000,30
31,310,87cf57,389.081152,1,149.000000,1,389.081152,88.510000,477.591152,0.000000,88.510000,1.000000,8408.450000,31
32,320,87cf57,400.602796,1,580.000000,1,400.602796,386.480000,787.082796,0.000000,386.480000,1.000000,36715.600000,21
33,330,87cf57,419.567873,2,891.000000,1,426.548440,593.590000,1020.138440,6.980567,600.570567,1.011760,112782.100000,7 10
34,340,87cf57,435.468088,2,87.000000,1,435.468088,26.481000,461.949088,0.000000,26.481000,1.000000,5031.390000,11-12
35,350,87cf57,444.401409,4,436.000000,1,477.591152,290.530000,768.121152,33.189743,323.719743,1.114239,110401.400000,11-12 27 31
36,360,87cf57,453.545146,4,96.000000,1,513.018483,35.932000,548.950483,59.473337,95.405337,2.655164,13654.160000,15-16 18-19
37,370,87cf57,459.151851,4,64.000000,1,514.997655,3.993000,518.990655,55.845804,59.838804,14.985926,1517.340000,0-1 22-23
38,380,87cf57,486.299265,8,141.000000,1,548.950483,80.710000,629.660483,62.651218,143.361218,1.776251,61339.600000,0-1 15-16 18-19 22-23
39,390,87cf57,491.143085,2,67.000000,1,508.388655,6.609000,514.997655,17.245570,23.854570,3.609407,1255.710000,0-1
40,400,87cf57,496.124540,8,70.000000,1,629.660483,9.567000,639.227483,133.535942,143.102942,14.957975,7270.920000,0-1 15-16 18-19 22-23
41,410,87cf57,510.722252,2,67.000000,1,518.990655,6.609000,525.599655,8.268403,14.877403,2.251082,1255.710000,0-1
42,420,87cf57,530.087620,2,67.000000,1,530.087620,6.609000,536.696620,0.000000,6.609000,1.000000,1255.710000,0-1
43,430,87cf57,545.978099,2,67.000000,1,633.238655,6.609000,639.847655,87.260556,93.869556,14.203292,1255.710000,9 17
44,440,87cf57,559.091549,4,436.000000,1,639.227483,290.530000,929.757483,80.135933,370.665933,1.275827,110401.400000,0-1 15-16
45,450,87cf57,563.553433,2,123.000000,1,639.227483,62.080000,701.307483,75.674050,137.754050,2.218976,11795.200000,18-19
46,460,87cf57,571.931821,1,580.000000,1,571.931821,386.480000,958.411821,0.000000,386.480000,1.000000,36715.600000,24
47,470,87cf57,581.605922,2,67.000000,1,639.227483,6.609000,645.836483,57.621561,64.230561,9.718650,1255.710000,22-23
48,480,87cf57,603.766950,8,269.000000,1,691.520000,179.080000,870.600000,87.753050,266.833050,1.490021,136100.800000,2-4 14 22-23 25 30
49,490,87cf57,613.095100,1,149.000000,1,633.238655,88.510000,721.748655,20.143554,108.653554,1.227585,8408.450000,20
50,500,87cf57,627.753679,2,123.000000,1,639.847655,62.080000,701.927655,12.093976,74.173976,1.194813,11795.200000,9 17
51,510,87cf57,641.457422,2,399.000000,1,701.307483,265.800000,967.107483,59.850061,325.650061,1.225170,50502.000000,18-19
52,520,87cf57,665.603059,2,212.000000,1,701.927655,140.950000,842.877655,36.324596,177.274596,1.257713,26780.500000,9 17
53,530,87cf57,667.277360,2,67.000000,1,720.068295,6.609000,726.677295,52.790935,59.399935,8.987734,1255.710000,5-6
54,540,87cf57,683.308561,2,399.000000,1,726.677295,265.800000,992.477295,43.368734,309.168734,1.163163,50502.000000,5-6
55,550,87cf57,694.644349,1,149.000000,1,721.748655,88.510000,810.258655,27.104305,115.614305,1.306229,8408.450000,20
56,560,87cf57,708.052138,4,64.000000,1,768.121152,3.993000,772.114152,60.069014,64.062014,16.043580,1517.340000,11-12 27 31
