method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
free_slots;jobs.csv;40c67da4ccf8;15;0;0;0;0;486604;32;101%;129364;0.79;64.46;0;0;4096;111;64.59;0;0;0;0;0;45;0;30;63.77755951182917
detailed_utilisation;jobs.csv;40c67da4ccf8;16;0;0;0;0;354920;32;101%;93385;0.76;34.95;0;0;4096;75;35.05;0;0;0;0;0;43;0;30;34.27900118287653
free_slots;jobs.csv;40c67da4ccf8;16;0;0;0;0;486820;32;101%;129999;0.76;64.35;0;0;4096;137;64.45;0;0;0;0;0;51;0;30;63.63377986010164
detailed_utilisation;jobs.csv;40c67da4ccf8;17;0;0;0;0;354424;32;101%;93409;0.74;34.62;0;0;4096;88;34.69;0;0;0;0;0;43;0;30;33.925318766152486
free_slots;jobs.csv;40c67da4ccf8;17;0;0;0;0;486288;32;101%;129158;0.82;64.15;0;0;4096;260;64.30;0;0;0;0;0;46;0;30;63.47814085520804
detailed_utilisation;jobs.csv;40c67da4ccf8;18;0;0;0;0;354748;32;101%;93300;0.66;34.84;0;0;4096;77;34.83;0;0;0;0;0;44;0;30;34.06423210003413
free_slots;jobs.csv;40c67da4ccf8;18;0;0;0;0;486236;32;101%;129511;0.74;66.19;0;0;4096;219;66.27;0;0;0;0;0;48;0;30;65.44315540697426
detailed_utilisation;jobs.csv;40c67da4ccf8;19;0;0;0;0;354368;32;101%;92890;0.74;34.86;0;0;4096;79;34.93;0;0;0;0;0;48;0;30;34.16296962299384
free_slots;jobs.csv;40c67da4ccf8;19;0;0;0;0;486216;32;100%;130110;0.75;65.22;0;0;4096;133;65.36;0;0;0;0;0;46;0;30;64.54185684490949
detailed_utilisation;jobs.csv;40c67da4ccf8;20;0;0;0;0;354036;32;101%;93479;0.74;34.86;0;0;4096;82;34.93;0;0;0;0;0;44;0;30;34.16333424602635
free_slots;jobs.csv;40c67da4ccf8;20;0;0;0;0;486260;32;101%;130093;0.84;64.70;0;0;4096;138;64.87;0;0;0;0;0;46;0;30;64.05846146401018
detailed_utilisation;jobs.csv;40c67da4ccf8;21;0;0;0;0;353936;32;101%;93913;0.72;34.62;0;0;4096;125;34.68;0;0;0;0;0;43;0;30;33.91332368878648
free_slots;jobs.csv;40c67da4ccf8;21;0;0;0;0;486656;32;101%;130132;0.73;64.62;0;0;4096;113;64.68;0;0;0;0;0;42;0;30;63.86123639997095
detailed_utilisation;jobs.csv;40c67da4ccf8;22;0;0;0;0;354452;32;101%;93614;0.73;36.58;0;0;4096;79;36.65;0;0;0;0;0;53;0;30;35.88653313717805
free_slots;jobs.csv;40c67da4ccf8;22;0;0;0;0;486992;32;101%;129404;0.81;64.74;0;0;4096;114;64.88;0;0;0;0;0;48;0;30;64.05932617094368
detailed_utilisation;jobs.csv;40c67da4ccf8;23;0;0;0;0;354640;32;101%;93034;0.74;34.44;0;0;4096;75;34.51;0;0;0;0;0;44;0;30;33.744795507984236
free_slots;jobs.csv;40c67da4ccf8;23;0;0;0;0;487188;32;101%;129523;0.78;66.47;0;0;4096;137;66.58;0;0;0;0;0;46;0;30;65.75835603405721
detailed_utilisation;jobs.csv;40c67da4ccf8;24;0;0;0;0;354920;32;101%;93263;0.71;35.34;0;0;4096;136;35.39;0;0;0;0;0;50;0;30;34.61817426211201
free_slots;jobs.csv;40c67da4ccf8;24;0;0;0;0;487236;32;101%;129603;0.80;65.18;0;0;4096;123;65.32;0;0;0;0;0;48;0;30;64.48606676189229
detailed_utilisation;jobs.csv;40c67da4ccf8;25;0;0;0;0;354104;32;101%;93548;2.72;38.06;0;0;4096;576;40.11;0;0;0;0;0;46;0;30;39.25693872314878
free_slots;jobs.csv;40c67da4ccf8;25;0;0;0;0;486752;32;100%;130010;5.18;70.55;0;0;4096;1230;75.06;0;0;0;0;0;46;0;30;74.15401470288634
detailed_utilisation;jobs.csv;40c67da4ccf8;26;0;0;0;0;353972;32;101%;93862;0.72;34.98;0;0;4096;77;35.03;0;0;0;0;0;44;0;30;34.2699233929161
free_slots;jobs.csv;40c67da4ccf8;26;0;0;0;0;486148;32;101%;130107;0.81;63.75;0;0;4096;112;63.89;0;0;0;0;0;52;0;30;63.07399856788106
detailed_utilisation;jobs.csv;40c67da4ccf8;27;0;0;0;0;354872;32;101%;93256;3.56;35.26;0;0;4096;803;38.15;0;0;0;0;0;43;0;30;37.3450444880873
free_slots;jobs.csv;40c67da4ccf8;27;0;0;0;0;486220;32;101%;129247;0.83;64.93;0;0;4096;145;65.09;0;0;0;0;0;47;0;30;64.25888371909969
detailed_utilisation;jobs.csv;40c67da4ccf8;28;0;0;0;0;354524;32;101%;93253;0.80;35.16;0;0;4096;86;35.28;0;0;0;0;0;46;0;30;34.52389116305858
free_slots;jobs.csv;40c67da4ccf8;28;0;0;0;0;486716;32;101%;128870;0.73;65.52;0;0;4096;115;65.58;0;0;0;0;0;51;0;30;64.7532860210631
detailed_utilisation;jobs.csv;40c67da4ccf8;29;0;0;0;0;354800;32;101%;93507;0.65;34.80;0;0;4096;83;34.79;0;0;0;0;0;43;0;30;34.022639747010544
free_slots;jobs.csv;40c67da4ccf8;29;0;0;0;0;486540;32;101%;129392;0.83;65.21;0;0;4096;259;65.38;0;0;0;0;0;48;0;30;64.54936347506009
detailed_utilisation;jobs.csv;40c67da4ccf8;30;0;0;0;0;354476;32;101%;93588;0.71;34.60;0;0;4096;85;34.65;0;0;0;0;0;40;0;30;33.88610895094462
free_slots;jobs.csv;40c67da4ccf8;30;0;0;0;0;487004;32;100%;129386;6.74;65.61;0;0;4096;1599;71.69;0;0;0;0;0;46;0;30;70.81046834285371
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;1;0;0;0;0;1526440;32;100%;394782;1.17;93.68;0;0;4096;156;94.18;0;0;0;0;0;57;0;30;93.13703782390803
free_slots;batsim_out_jobs.csv;40c67da4ccf8;1;0;0;0;0;2549764;32;100%;657762;1.58;181.60;0;0;4096;652;182.51;0;0;0;0;0;46;0;30;181.292093971977
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;2;0;0;0;0;1525788;32;100%;395126;1.10;95.84;0;0;4096;169;96.28;0;0;0;0;0;48;0;30;95.2402793369256
free_slots;batsim_out_jobs.csv;40c67da4ccf8;2;0;0;0;0;2549464;32;100%;657916;1.48;180.89;0;0;4096;295;181.70;0;0;0;0;0;54;0;30;180.46938823000528
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;3;0;0;0;0;1527668;32;100%;393426;13.06;102.05;0;0;4096;3153;114.45;0;0;0;0;0;50;0;30;113.32025938807055
free_slots;batsim_out_jobs.csv;40c67da4ccf8;3;0;0;0;0;2548180;32;100%;657290;1.55;191.55;0;0;4096;675;192.47;0;0;0;0;0;54;0;30;191.19773298804648
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;4;0;0;0;0;1529396;32;100%;395924;1.45;103.74;0;0;4096;1662;104.71;0;0;0;0;0;37;0;30;103.48655929416418
free_slots;batsim_out_jobs.csv;40c67da4ccf8;4;0;0;0;0;2550564;32;100%;656849;1.52;190.24;0;0;4096;456;191.17;0;0;0;0;0;43;0;30;189.84710475383326
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;5;0;0;0;0;1525216;32;100%;394907;1.16;97.84;0;0;4096;272;98.38;0;0;0;0;0;45;0;30;97.29687740001827
free_slots;batsim_out_jobs.csv;40c67da4ccf8;5;0;0;0;0;2549788;32;100%;658647;6.19;193.27;0;0;4096;1569;198.91;0;0;0;0;0;50;0;30;197.5306383690331
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;6;0;0;0;0;1525660;32;100%;393022;1.20;106.09;0;0;4096;583;106.73;0;0;0;0;0;42;0;30;105.46114954096265
free_slots;batsim_out_jobs.csv;40c67da4ccf8;6;0;0;0;0;2547668;32;100%;657280;1.48;190.04;0;0;4096;487;190.99;0;0;0;0;0;49;0;30;189.60971584683284
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;7;0;0;0;0;1527436;32;100%;395750;3.29;98.60;0;0;4096;1129;101.32;0;0;0;0;0;46;0;30;100.03218613099307
free_slots;batsim_out_jobs.csv;40c67da4ccf8;7;0;0;0;0;2548472;32;100%;656866;2.38;203.15;0;0;4096;696;204.98;0;0;0;0;0;46;0;30;203.61876382282935
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;8;0;0;0;0;1527808;32;100%;392344;1.28;98.22;0;0;4096;204;98.93;0;0;0;0;0;47;0;30;97.80316110397689
free_slots;batsim_out_jobs.csv;40c67da4ccf8;8;0;0;0;0;2547604;32;100%;657516;1.55;188.44;0;0;4096;303;189.41;0;0;0;0;0;52;0;30;188.07359149190597
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;9;0;0;0;0;1530264;32;100%;393212;1.10;93.78;0;0;4096;358;94.21;0;0;0;0;0;51;0;30;93.15446000685915
free_slots;batsim_out_jobs.csv;40c67da4ccf8;9;0;0;0;0;2547212;32;100%;656098;1.55;184.27;0;0;4096;273;185.15;0;0;0;0;0;48;0;30;183.9014104329981
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;10;0;0;0;0;1525496;32;100%;395072;1.14;94.04;0;0;4096;428;94.52;0;0;0;0;0;50;0;30;93.45873677614145
free_slots;batsim_out_jobs.csv;40c67da4ccf8;10;0;0;0;0;2547920;32;100%;656526;1.34;183.16;0;0;4096;292;183.84;0;0;0;0;0;51;0;30;182.58765307907015
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;11;0;0;0;0;1524912;32;100%;394360;1.10;92.88;0;0;4096;524;93.33;0;0;0;0;0;38;0;30;92.27234506583773
free_slots;batsim_out_jobs.csv;40c67da4ccf8;11;0;0;0;0;2547936;32;100%;658474;4.28;184.05;0;0;4096;985;187.66;0;0;0;0;0;44;0;30;186.37710259505548
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;12;0;0;0;0;1525820;32;100%;392539;1.17;93.80;0;0;4096;1006;94.37;0;0;0;0;0;39;0;30;93.24293285189196
free_slots;batsim_out_jobs.csv;40c67da4ccf8;12;0;0;0;0;2547680;32;100%;657189;4.76;184.63;0;0;4096;1089;188.74;0;0;0;0;0;52;0;30;187.20655370992608
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;13;0;0;0;0;1524952;32;100%;395242;1.20;93.48;0;0;4096;310;94.07;0;0;0;0;0;54;0;30;92.93458370608278
free_slots;batsim_out_jobs.csv;40c67da4ccf8;13;0;0;0;0;2548744;32;100%;658172;3.04;195.43;0;0;4096;880;197.80;0;0;0;0;0;45;0;30;196.46920715994202
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;14;0;0;0;0;1527632;32;100%;392788;1.22;92.08;0;0;4096;167;92.64;0;0;0;0;0;53;0;30;91.58841978386045
free_slots;batsim_out_jobs.csv;40c67da4ccf8;14;0;0;0;0;2545876;32;100%;655180;1.45;183.41;0;0;4096;389;184.20;0;0;0;0;0;53;0;30;182.9591479599476
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;15;0;0;0;0;1527852;32;100%;392566;1.05;94.92;0;0;4096;161;95.31;0;0;0;0;0;48;0;30;94.25443153898232
free_slots;batsim_out_jobs.csv;40c67da4ccf8;15;0;0;0;0;2546456;32;100%;657243;1.60;183.62;0;0;4096;1483;184.57;0;0;0;0;0;49;0;30;183.2758034209255
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;16;0;0;0;0;1523840;32;100%;394579;1.22;95.04;0;0;4096;587;95.60;0;0;0;0;0;50;0;30;94.52538942592219
free_slots;batsim_out_jobs.csv;40c67da4ccf8;16;0;0;0;0;2549296;32;100%;656408;2.84;182.00;0;0;4096;661;184.23;0;0;0;0;0;40;0;30;182.96820097300224
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;17;0;0;0;0;1527264;32;100%;392764;1.13;93.83;0;0;4096;185;94.29;0;0;0;0;0;46;0;30;93.23433946887963
free_slots;batsim_out_jobs.csv;40c67da4ccf8;17;0;0;0;0;2544692;32;100%;656603;1.54;182.95;0;0;4096;284;183.82;0;0;0;0;0;43;0;30;182.58396384306252
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;18;0;0;0;0;1525420;32;100%;392161;10.10;107.34;0;0;4096;2398;116.78;0;0;0;0;0;52;0;30;115.48680472001433
free_slots;batsim_out_jobs.csv;40c67da4ccf8;18;0;0;0;0;2548724;32;100%;655983;3.44;188.83;0;0;4096;1249;191.61;0;0;0;0;0;45;0;30;190.34250730695203
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;19;0;0;0;0;1525088;32;100%;392701;13.48;105.98;0;0;4096;3273;118.88;0;0;0;0;0;47;0;30;117.51271844515577
free_slots;batsim_out_jobs.csv;40c67da4ccf8;19;0;0;0;0;2547308;32;100%;656920;1.41;184.42;0;0;4096;372;185.18;0;0;0;0;0;51;0;30;183.88932346599177
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;20;0;0;0;0;1529676;32;100%;396530;11.47;101.17;0;0;4096;2813;111.98;0;0;0;0;0;48;0;30;110.68136452301405
free_slots;batsim_out_jobs.csv;40c67da4ccf8;20;0;0;0;0;2545664;32;100%;657063;1.69;218.26;0;0;4096;850;219.39;0;0;0;0;0;48;0;30;217.8666268410161
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;21;0;0;0;0;1522056;32;100%;393884;1.33;103.19;0;0;4096;889;103.93;0;0;0;0;0;48;0;30;102.62919590296224
free_slots;batsim_out_jobs.csv;40c67da4ccf8;21;0;0;0;0;2547924;32;100%;657028;1.89;222.82;0;0;4096;673;224.14;0;0;0;0;0;51;0;30;222.70581662398763
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;22;0;0;0;0;1527600;32;100%;392710;1.72;105.85;0;0;4096;644;106.99;0;0;0;0;0;47;0;30;105.71169863804244
free_slots;batsim_out_jobs.csv;40c67da4ccf8;22;0;0;0;0;2547252;32;100%;656874;1.83;197.86;0;0;4096;668;199.14;0;0;0;0;0;56;0;30;197.68244764208794
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;23;0;0;0;0;1525032;32;100%;392753;1.10;94.63;0;0;4096;206;95.06;0;0;0;0;0;40;0;30;94.01024171314202
free_slots;batsim_out_jobs.csv;40c67da4ccf8;23;0;0;0;0;2547096;32;100%;656004;1.60;180.01;0;0;4096;479;180.94;0;0;0;0;0;56;0;30;179.709733372787
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;24;0;0;0;0;1527652;32;100%;395720;1.10;93.22;0;0;4096;160;93.65;0;0;0;0;0;49;0;30;92.59064685297199
free_slots;batsim_out_jobs.csv;40c67da4ccf8;24;0;0;0;0;2548376;32;100%;656762;1.52;184.56;0;0;4096;545;185.41;0;0;0;0;0;35;0;30;184.13532337010838
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;25;0;0;0;0;1525348;32;100%;394877;1.18;100.29;0;0;4096;708;100.86;0;0;0;0;0;44;0;30;99.65964504005387
free_slots;batsim_out_jobs.csv;40c67da4ccf8;25;0;0;0;0;2547600;32;100%;656100;1.74;198.75;0;0;4096;212101;199.93;0;0;0;0;0;39;0;30;198.49084033910185
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;26;0;0;0;0;1525160;32;100%;394650;1.23;100.50;0;0;4096;425;101.11;0;0;0;0;0;55;0;30;99.96499764500186
free_slots;batsim_out_jobs.csv;40c67da4ccf8;26;0;0;0;0;2549352;32;100%;657459;1.72;206.76;0;0;4096;28787;207.91;0;0;0;0;0;47;0;30;206.53927668812685
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;27;0;0;0;0;1525628;32;100%;392146;1.29;103.56;0;0;4096;65361;104.25;0;0;0;0;0;52;0;30;103.07000235910527
free_slots;batsim_out_jobs.csv;40c67da4ccf8;27;0;0;0;0;2543576;32;100%;657157;1.84;202.28;0;0;4096;1150;203.64;0;0;0;0;0;36;0;30;202.20050109783188
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;28;0;0;0;0;1527420;32;100%;396048;1.24;102.70;0;0;4096;40097;103.37;0;0;0;0;0;46;0;30;102.19993191491812
free_slots;batsim_out_jobs.csv;40c67da4ccf8;28;0;0;0;0;2545956;32;100%;657064;1.70;197.29;0;0;4096;974;198.36;0;0;0;0;0;54;0;30;196.97754982393235
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;29;0;0;0;0;1526064;32;100%;392302;1.28;101.97;0;0;4096;252;102.62;0;0;0;0;0;47;0;30;101.48885469301604
free_slots;batsim_out_jobs.csv;40c67da4ccf8;29;0;0;0;0;2548700;32;100%;657582;1.80;195.83;0;0;4096;799;197.00;0;0;0;0;0;45;0;30;195.69117150921375
detailed_utilisation;batsim_out_jobs.csv;40c67da4ccf8;30;0;0;0;0;1527880;32;100%;395513;1.16;98.93;0;0;4096;214568;99.52;0;0;0;0;0;47;0;30;98.38967937603593
free_slots;batsim_out_jobs.csv;40c67da4ccf8;30;0;0;0;0;2546388;32;100%;656413;1.77;200.59;0;0;4096;543;201.71;0;0;0;0;0;49;0;30;200.36761916591786
detailed_utilisation;jobs.csv;484e302528a6;1;0;0;0;0;355868;32;101%;95078;0.69;38.80;0;0;4096;483;38.93;0;0;0;0;0;47;0;30;38.03074780595489
free_slots;jobs.csv;484e302528a6;1;0;0;0;0;489108;32;100%;130918;0.86;69.92;0;0;4096;606;70.15;0;0;0;0;0;46;0;30;69.24155406584032
detailed_utilisation;jobs.csv;484e302528a6;2;0;0;0;0;355676;32;101%;94856;0.70;38.78;0;0;4096;215460;38.92;0;0;0;0;0;51;0;30;38.04482384305447
free_slots;jobs.csv;484e302528a6;2;0;0;0;0;489340;32;100%;130555;0.81;68.80;0;0;4096;366;69.03;0;0;0;0;0;44;0;30;68.13037549308501
detailed_utilisation;jobs.csv;484e302528a6;3;0;0;0;0;355524;32;101%;93717;0.74;37.24;0;0;4096;391;37.36;0;0;0;0;0;52;0;30;36.52480617794208
free_slots;jobs.csv;484e302528a6;3;0;0;0;0;489456;32;100%;129992;0.89;69.93;0;0;4096;206;70.20;0;0;0;0;0;53;0;30;69.28896446106955
detailed_utilisation;jobs.csv;484e302528a6;4;0;0;0;0;355208;32;101%;94270;0.64;37.15;0;0;4096;346;37.27;0;0;0;0;0;47;0;30;36.34033147897571
free_slots;jobs.csv;484e302528a6;4;0;0;0;0;488988;32;100%;130348;0.66;70.17;0;0;4096;196367;70.40;0;0;0;0;0;48;0;30;69.44399497495033
detailed_utilisation;jobs.csv;484e302528a6;5;0;0;0;0;356448;32;101%;94804;0.71;38.64;0;0;4096;173;38.75;0;0;0;0;0;42;0;30;37.89471254195087
free_slots;jobs.csv;484e302528a6;5;0;0;0;0;489088;32;100%;130569;0.85;71.03;0;0;4096;860;71.26;0;0;0;0;0;44;0;30;70.33262149896473
detailed_utilisation;jobs.csv;484e302528a6;6;0;0;0;0;356144;32;101%;93491;0.76;37.68;0;0;4096;361;37.87;0;0;0;0;0;35;0;30;36.95486139901914
free_slots;jobs.csv;484e302528a6;6;0;0;0;0;488856;32;100%;130497;0.78;69.81;0;0;4096;618;70.01;0;0;0;0;0;45;0;30;69.09078676300123
detailed_utilisation;jobs.csv;484e302528a6;7;0;0;0;0;356392;32;101%;94966;0.74;37.80;0;0;4096;139;37.94;0;0;0;0;0;49;0;30;37.09655237197876
free_slots;jobs.csv;484e302528a6;7;0;0;0;0;489332;32;100%;129932;0.85;70.19;0;0;4096;580;70.41;0;0;0;0;0;50;0;30;69.49698832305148
detailed_utilisation;jobs.csv;484e302528a6;8;0;0;0;0;356408;32;101%;94627;0.81;37.19;0;0;4096;249;37.36;0;0;0;0;0;46;0;30;36.5150400029961
free_slots;jobs.csv;484e302528a6;8;0;0;0;0;489264;32;100%;130607;0.81;69.60;0;0;4096;274;69.81;0;0;0;0;0;51;0;30;68.9093773139175
detailed_utilisation;jobs.csv;484e302528a6;9;0;0;0;0;355260;32;101%;95065;0.72;37.78;0;0;4096;144;37.88;0;0;0;0;0;48;0;30;37.026576263131574
free_slots;jobs.csv;484e302528a6;9;0;0;0;0;488932;32;100%;131199;0.82;71.27;0;0;4096;325;71.53;0;0;0;0;0;37;0;30;70.59893341595307
detailed_utilisation;jobs.csv;484e302528a6;10;0;0;0;0;356368;32;101%;94600;0.69;37.87;0;0;4096;265;37.98;0;0;0;0;0;57;0;30;37.13812488690019
free_slots;jobs.csv;484e302528a6;10;0;0;0;0;489668;32;100%;129973;0.83;70.40;0;0;4096;292;70.60;0;0;0;0;0;46;0;30;69.68123726383783
detailed_utilisation;jobs.csv;484e302528a6;11;0;0;0;0;355968;32;101%;94068;0.73;37.64;0;0;4096;292;37.80;0;0;0;0;0;45;0;30;36.930090212030336
free_slots;jobs.csv;484e302528a6;11;0;0;0;0;489364;32;100%;130939;0.85;70.22;0;0;4096;336;70.44;0;0;0;0;0;42;0;30;69.5383938420564
detailed_utilisation;jobs.csv;484e302528a6;12;0;0;0;0;356012;32;101%;94180;0.74;38.73;0;0;4096;198;38.89;0;0;0;0;0;44;0;30;38.01841570902616
free_slots;jobs.csv;484e302528a6;12;0;0;0;0;489404;32;100%;131037;0.80;72.24;0;0;4096;214818;72.47;0;0;0;0;0;59;0;30;71.52456857985817
detailed_utilisation;jobs.csv;484e302528a6;13;0;0;0;0;356392;32;101%;94603;0.76;38.17;0;0;4096;385;38.35;0;0;0;0;0;41;0;30;37.44942218088545
free_slots;jobs.csv;484e302528a6;13;0;0;0;0;488960;32;100%;130095;0.80;70.92;0;0;4096;97514;71.14;0;0;0;0;0;48;0;30;70.23891380312853
detailed_utilisation;jobs.csv;484e302528a6;14;0;0;0;0;356028;32;101%;95178;0.73;37.74;0;0;4096;260;37.83;0;0;0;0;0;53;0;30;36.988567346008494
free_slots;jobs.csv;484e302528a6;14;0;0;0;0;489416;32;100%;130566;0.85;73.63;0;0;4096;488;73.91;0;0;0;0;0;55;0;30;72.91493024304509
detailed_utilisation;jobs.csv;484e302528a6;15;0;0;0;0;355044;32;101%;94059;0.68;38.37;0;0;4096;202407;38.48;0;0;0;0;0;47;0;30;37.610575448023155
free_slots;jobs.csv;484e302528a6;15;0;0;0;0;488948;32;100%;130366;0.82;71.60;0;0;4096;1133;71.88;0;0;0;0;0;49;0;30;70.9185065550264
detailed_utilisation;jobs.csv;484e302528a6;16;0;0;0;0;355784;32;101%;93583;0.74;37.31;0;0;4096;176;37.46;0;0;0;0;0;50;0;30;36.60158541286364
free_slots;jobs.csv;484e302528a6;16;0;0;0;0;488648;32;100%;130055;0.77;69.86;0;0;4096;199;69.99;0;0;0;0;0;49;0;30;69.0882625549566
detailed_utilisation;jobs.csv;484e302528a6;17;0;0;0;0;355732;32;101%;94273;0.72;38.13;0;0;4096;138;38.22;0;0;0;0;0;42;0;30;37.38934118789621
free_slots;jobs.csv;484e302528a6;17;0;0;0;0;488908;32;100%;131069;0.82;70.97;0;0;4096;220;71.16;0;0;0;0;0;53;0;30;70.23830939806066
detailed_utilisation;jobs.csv;484e302528a6;18;0;0;0;0;356040;32;101%;94728;0.72;38.22;0;0;4096;151;38.38;0;0;0;0;0;47;0;30;37.46340686199255
free_slots;jobs.csv;484e302528a6;18;0;0;0;0;488968;32;100%;130513;0.79;70.79;0;0;4096;317;70.99;0;0;0;0;0;45;0;30;70.05134822614491
detailed_utilisation;jobs.csv;484e302528a6;19;0;0;0;0;356480;32;101%;93997;0.63;37.46;0;0;4096;205903;37.57;0;0;0;0;0;47;0;30;36.68274941504933
free_slots;jobs.csv;484e302528a6;19;0;0;0;0;489436;32;100%;130291;0.84;69.15;0;0;4096;575;69.36;0;0;0;0;0;40;0;30;68.45625869184732
detailed_utilisation;jobs.csv;484e302528a6;20;0;0;0;0;355880;32;101%;94747;0.68;36.91;0;0;4096;366;37.04;0;0;0;0;0;51;0;30;36.17736005107872
free_slots;jobs.csv;484e302528a6;20;0;0;0;0;488636;32;100%;129966;0.85;70.25;0;0;4096;489;70.46;0;0;0;0;0;34;0;30;69.5524606029503
detailed_utilisation;jobs.csv;484e302528a6;21;0;0;0;0;356584;32;101%;94930;0.80;36.87;0;0;4096;147;37.03;0;0;0;0;0;45;0;30;36.18816069397144
free_slots;jobs.csv;484e302528a6;21;0;0;0;0;488592;32;100%;130466;0.84;72.64;0;0;4096;216205;72.92;0;0;0;0;0;47;0;30;71.97370854089968
detailed_utilisation;jobs.csv;484e302528a6;22;0;0;0;0;355980;32;101%;94904;0.69;37.86;0;0;4096;211078;38.05;0;0;0;0;0;50;0;30;37.1514501941856
free_slots;jobs.csv;484e302528a6;22;0;0;0;0;489244;32;100%;130762;0.86;70.55;0;0;4096;579;70.82;0;0;0;0;0;41;0;30;69.89188346709125
detailed_utilisation;jobs.csv;484e302528a6;23;0;0;0;0;356672;32;101%;94746;0.70;37.62;0;0;4096;215722;37.76;0;0;0;0;0;50;0;30;36.894261338049546
free_slots;jobs.csv;484e302528a6;23;0;0;0;0;489936;32;100%;130702;0.86;69.77;0;0;4096;215;70.00;0;0;0;0;0;49;0;30;69.09646751196124
detailed_utilisation;jobs.csv;484e302528a6;24;0;0;0;0;356008;32;101%;93891;0.65;37.94;0;0;4096;251;38.03;0;0;0;0;0;47;0;30;37.176048652036116
free_slots;jobs.csv;484e302528a6;24;0;0;0;0;489012;32;100%;131380;0.82;70.30;0;0;4096;801;70.56;0;0;0;0;0;54;0;30;69.62459322507493
detailed_utilisation;jobs.csv;484e302528a6;25;0;0;0;0;355572;32;101%;94084;0.76;37.23;0;0;4096;154;37.37;0;0;0;0;0;49;0;30;36.51523950905539
free_slots;jobs.csv;484e302528a6;25;0;0;0;0;489268;32;100%;130247;0.77;71.00;0;0;4096;243;71.20;0;0;0;0;0;42;0;30;70.22207602206618
detailed_utilisation;jobs.csv;484e302528a6;26;0;0;0;0;356216;32;101%;94028;0.71;38.21;0;0;4096;198;38.35;0;0;0;0;0;48;0;30;37.47883203299716
free_slots;jobs.csv;484e302528a6;26;0;0;0;0;488976;32;100%;130713;0.78;73.10;0;0;4096;306;73.30;0;0;0;0;0;46;0;30;72.37055496312678
detailed_utilisation;jobs.csv;484e302528a6;27;0;0;0;0;356680;32;101%;94458;0.66;38.03;0;0;4096;243;38.14;0;0;0;0;0;52;0;30;37.25192381301895
free_slots;jobs.csv;484e302528a6;27;0;0;0;0;488372;32;100%;130269;0.75;70.34;0;0;4096;715;70.56;0;0;0;0;0;42;0;30;69.62310676206835
detailed_utilisation;jobs.csv;484e302528a6;28;0;0;0;0;356300;32;101%;95140;0.75;37.18;0;0;4096;206;37.30;0;0;0;0;0;52;0;30;36.44631286803633
free_slots;jobs.csv;484e302528a6;28;0;0;0;0;488560;32;100%;130022;0.89;70.21;0;0;4096;446;70.47;0;0;0;0;0;49;0;30;69.55928861885332
detailed_utilisation;jobs.csv;484e302528a6;29;0;0;0;0;356316;32;101%;95133;0.74;37.24;0;0;4096;432;37.36;0;0;0;0;0;35;0;30;36.502367208944634
free_slots;jobs.csv;484e302528a6;29;0;0;0;0;488964;32;100%;130254;0.90;72.47;0;0;4096;732;72.82;0;0;0;0;0;44;0;30;71.8328643438872
detailed_utilisation;jobs.csv;484e302528a6;30;0;0;0;0;356592;32;101%;94190;0.75;37.73;0;0;4096;318;37.90;0;0;0;0;0;51;0;30;36.98479177104309
free_slots;jobs.csv;484e302528a6;30;0;0;0;0;488924;32;100%;130737;0.81;72.03;0;0;4096;210;72.20;0;0;0;0;0;36;0;30;71.26111682388
