method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
load;jobs.csv;40c67da4ccf8;18;0;0;0;0;141464;32;130%;38290;1.14;3.81;0;0;4096;102;3.79;0;0;0;0;0;360;0
gantt;jobs.csv;40c67da4ccf8;19;0;0;0;0;128240;32;158%;35589;1.18;2.22;0;0;4096;220351;2.14;0;0;0;0;0;369;0
load;jobs.csv;40c67da4ccf8;19;0;0;0;0;141124;32;129%;38369;1.18;3.84;0;0;4096;116;3.86;0;0;0;0;0;369;0
gantt;jobs.csv;40c67da4ccf8;20;0;0;0;0;128180;32;158%;35758;1.09;2.26;0;0;4096;433290;2.12;0;0;0;0;0;360;0
load;jobs.csv;40c67da4ccf8;20;0;0;0;0;141744;32;131%;38108;1.15;3.78;0;0;4096;92;3.76;0;0;0;0;0;367;0
gantt;jobs.csv;40c67da4ccf8;21;0;0;0;0;128388;32;160%;35533;1.21;2.30;0;0;4096;93;2.18;0;0;0;0;0;371;0
load;jobs.csv;40c67da4ccf8;21;0;0;0;0;141888;32;133%;38159;0.98;3.31;0;0;4096;220555;3.21;0;0;0;0;0;371;0
gantt;jobs.csv;40c67da4ccf8;22;0;0;0;0;128340;32;158%;35609;1.15;2.20;0;0;4096;434830;2.11;0;0;0;0;0;378;0
load;jobs.csv;40c67da4ccf8;22;0;0;0;0;141188;32;136%;38317;1.06;3.30;0;0;4096;59464;3.21;0;0;0;0;0;363;0
gantt;jobs.csv;40c67da4ccf8;23;0;0;0;0;128212;32;155%;35586;1.18;2.30;0;0;4096;220485;2.24;0;0;0;0;0;367;0
load;jobs.csv;40c67da4ccf8;23;0;0;0;0;141840;32;133%;38281;1.06;3.24;0;0;4096;215289;3.21;0;0;0;0;0;363;0
gantt;jobs.csv;40c67da4ccf8;24;0;0;0;0;128560;32;159%;35656;1.17;2.21;0;0;4096;433862;2.12;0;0;0;0;0;370;0
load;jobs.csv;40c67da4ccf8;24;0;0;0;0;142192;32;135%;38247;1.12;3.24;0;0;4096;213338;3.21;0;0;0;0;0;358;0
gantt;jobs.csv;40c67da4ccf8;25;0;0;0;0;128336;32;156%;35809;1.12;2.26;0;0;4096;221241;2.16;0;0;0;0;0;364;0
load;jobs.csv;40c67da4ccf8;25;0;0;0;0;141792;32;134%;38283;1.02;3.34;0;0;4096;434170;3.24;0;0;0;0;0;359;0
gantt;jobs.csv;40c67da4ccf8;26;0;0;0;0;127812;32;145%;35855;1.50;2.52;0;0;4096;433675;2.77;0;0;0;0;0;357;0
load;jobs.csv;40c67da4ccf8;26;0;0;0;0;141312;32;127%;38234;1.68;3.53;0;0;4096;221188;4.10;0;0;0;0;0;369;0
gantt;jobs.csv;40c67da4ccf8;27;0;0;0;0;128464;32;157%;35704;1.14;2.25;0;0;4096;220445;2.15;0;0;0;0;0;356;0
load;jobs.csv;40c67da4ccf8;27;0;0;0;0;141364;32;136%;38318;1.04;3.25;0;0;4096;434040;3.14;0;0;0;0;0;366;0
gantt;jobs.csv;40c67da4ccf8;28;0;0;0;0;128492;32;157%;35676;1.17;2.28;0;0;4096;91;2.18;0;0;0;0;0;353;0
load;jobs.csv;40c67da4ccf8;28;0;0;0;0;141800;32;134%;38310;1.04;3.41;0;0;4096;85177;3.32;0;0;0;0;0;375;0
gantt;jobs.csv;40c67da4ccf8;29;0;0;0;0;128592;32;157%;35615;1.10;2.24;0;0;4096;435597;2.12;0;0;0;0;0;364;0
load;jobs.csv;40c67da4ccf8;29;0;0;0;0;141888;32;135%;38221;1.12;3.30;0;0;4096;124;3.27;0;0;0;0;0;368;0
gantt;jobs.csv;40c67da4ccf8;30;0;0;0;0;128340;32;155%;35702;1.06;2.32;0;0;4096;436516;2.17;0;0;0;0;0;367;0
load;jobs.csv;40c67da4ccf8;30;0;0;0;0;141300;32;133%;38420;1.04;3.32;0;0;4096;222547;3.26;0;0;0;0;0;369;0
