method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
load;jobs.csv;484e302528a6;28;0;0;0;0;141904;32;136%;38310;1.07;3.27;0;0;4096;434872;3.18;0;0;0;0;0;361;0
gantt;jobs.csv;484e302528a6;29;0;0;0;0;128256;32;150%;35707;1.14;2.53;0;0;4096;372297;2.44;0;0;0;0;0;367;0
load;jobs.csv;484e302528a6;29;0;0;0;0;141672;32;136%;38189;1.09;3.25;0;0;4096;213385;3.17;0;0;0;0;0;355;0
gantt;jobs.csv;484e302528a6;30;0;0;0;0;128100;32;157%;35639;1.28;2.40;0;0;4096;89;2.33;0;0;0;0;0;365;0
load;jobs.csv;484e302528a6;30;0;0;0;0;142028;32;131%;38247;1.04;3.84;0;0;4096;309931;3.72;0;0;0;0;0;367;0
gantt;batsim_out_jobs.csv;484e302528a6;1;0;0;0;0;150936;32;134%;41624;1.16;3.79;0;0;4096;434377;3.68;0;0;0;0;0;367;0
load;batsim_out_jobs.csv;484e302528a6;1;0;0;0;0;167412;32;122%;44864;1.22;5.10;0;0;4096;220680;5.17;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;484e302528a6;2;0;0;0;0;150676;32;129%;41540;1.28;4.37;0;0;4096;158500;4.38;0;0;0;0;0;370;0
load;batsim_out_jobs.csv;484e302528a6;2;0;0;0;0;167168;32;119%;44760;1.20;5.88;0;0;4096;128;5.92;0;0;0;0;0;363;0
gantt;batsim_out_jobs.csv;484e302528a6;3;0;0;0;0;150780;32;131%;41427;1.30;4.41;0;0;4096;88;4.34;0;0;0;0;0;361;0
load;batsim_out_jobs.csv;484e302528a6;3;0;0;0;0;167160;32;122%;44710;1.25;5.00;0;0;4096;203335;5.08;0;0;0;0;0;367;0
gantt;batsim_out_jobs.csv;484e302528a6;4;0;0;0;0;150868;32;136%;41232;1.33;3.73;0;0;4096;213663;3.71;0;0;0;0;0;359;0
load;batsim_out_jobs.csv;484e302528a6;4;0;0;0;0;167364;32;123%;44730;1.13;5.00;0;0;4096;220270;4.98;0;0;0;0;0;373;0
gantt;batsim_out_jobs.csv;484e302528a6;5;0;0;0;0;150924;32;134%;41378;1.20;3.74;0;0;4096;433663;3.66;0;0;0;0;0;359;0
load;batsim_out_jobs.csv;484e302528a6;5;0;0;0;0;167104;32;123%;44685;1.12;5.06;0;0;4096;202918;5.02;0;0;0;0;0;369;0
gantt;batsim_out_jobs.csv;484e302528a6;6;0;0;0;0;150900;32;129%;41340;1.51;4.35;0;0;4096;182498;4.52;0;0;0;0;0;366;0
load;batsim_out_jobs.csv;484e302528a6;6;0;0;0;0;167420;32;119%;44798;1.10;6.08;0;0;4096;156506;6.02;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;484e302528a6;7;0;0;0;0;150768;32;128%;42118;1.74;4.09;0;0;4096;372473;4.54;0;0;0;0;0;351;0
load;batsim_out_jobs.csv;484e302528a6;7;0;0;0;0;167552;32;123%;45017;1.16;4.98;0;0;4096;213500;4.98;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;484e302528a6;8;0;0;0;0;151176;32;135%;41709;1.28;3.77;0;0;4096;214704;3.72;0;0;0;0;0;358;0
load;batsim_out_jobs.csv;484e302528a6;8;0;0;0;0;167276;32;122%;44758;1.14;5.10;0;0;4096;205865;5.08;0;0;0;0;0;369;0
gantt;batsim_out_jobs.csv;484e302528a6;9;0;0;0;0;150884;32;136%;41532;1.27;3.84;0;0;4096;214497;3.76;0;0;0;0;0;361;0
load;batsim_out_jobs.csv;484e302528a6;9;0;0;0;0;166596;32;123%;44882;1.22;4.93;0;0;4096;84;4.99;0;0;0;0;0;361;0
gantt;batsim_out_jobs.csv;484e302528a6;10;0;0;0;0;151032;32;134%;41450;1.74;3.87;0;0;4096;160;4.19;0;0;0;0;0;357;0
load;batsim_out_jobs.csv;484e302528a6;10;0;0;0;0;167500;32;123%;44828;1.14;4.96;0;0;4096;420227;4.94;0;0;0;0;0;362;0
gantt;batsim_out_jobs.csv;484e302528a6;11;0;0;0;0;150952;32;136%;41652;1.21;3.88;0;0;4096;214922;3.73;0;0;0;0;0;360;0
load;batsim_out_jobs.csv;484e302528a6;11;0;0;0;0;167028;32;118%;44866;2.53;5.12;0;0;4096;330;6.48;0;0;0;0;0;357;0
gantt;batsim_out_jobs.csv;484e302528a6;12;0;0;0;0;150640;32;129%;41466;1.24;4.40;0;0;4096;156388;4.35;0;0;0;0;0;359;0
load;batsim_out_jobs.csv;484e302528a6;12;0;0;0;0;167260;32;123%;44948;1.07;5.11;0;0;4096;384600;5.02;0;0;0;0;0;357;0
gantt;batsim_out_jobs.csv;484e302528a6;13;0;0;0;0;150660;32;130%;41413;1.48;4.50;0;0;4096;124;4.59;0;0;0;0;0;365;0
load;batsim_out_jobs.csv;484e302528a6;13;0;0;0;0;167472;32;122%;44735;1.08;5.08;0;0;4096;216139;5.05;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;484e302528a6;14;0;0;0;0;150820;32;132%;41417;1.17;3.98;0;0;4096;221869;3.89;0;0;0;0;0;352;0
load;batsim_out_jobs.csv;484e302528a6;14;0;0;0;0;167212;32;123%;44783;1.16;5.08;0;0;4096;220080;5.07;0;0;0;0;0;370;0
gantt;batsim_out_jobs.csv;484e302528a6;15;0;0;0;0;150720;32;128%;41509;1.87;3.92;0;0;4096;425654;4.50;0;0;0;0;0;363;0
load;batsim_out_jobs.csv;484e302528a6;15;0;0;0;0;166952;32;119%;44706;1.30;5.80;0;0;4096;372866;5.95;0;0;0;0;0;355;0
gantt;batsim_out_jobs.csv;484e302528a6;16;0;0;0;0;150688;32;133%;41532;1.13;3.88;0;0;4096;376471;3.75;0;0;0;0;0;361;0
load;batsim_out_jobs.csv;484e302528a6;16;0;0;0;0;166548;32;123%;44764;1.11;5.07;0;0;4096;219912;5.02;0;0;0;0;0;369;0
gantt;batsim_out_jobs.csv;484e302528a6;17;0;0;0;0;150564;32;133%;41453;1.19;3.82;0;0;4096;198834;3.76;0;0;0;0;0;365;0
load;batsim_out_jobs.csv;484e302528a6;17;0;0;0;0;167548;32;123%;44899;1.12;5.00;0;0;4096;420030;4.97;0;0;0;0;0;354;0
gantt;batsim_out_jobs.csv;484e302528a6;18;0;0;0;0;150568;32;130%;41311;1.09;4.00;0;0;4096;605855;3.90;0;0;0;0;0;365;0
load;batsim_out_jobs.csv;484e302528a6;18;0;0;0;0;167468;32;122%;44894;1.03;5.15;0;0;4096;142827;5.04;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;484e302528a6;19;0;0;0;0;150372;32;127%;41277;1.04;3.82;0;0;4096;335556;3.83;0;0;0;0;0;362;0
load;batsim_out_jobs.csv;484e302528a6;19;0;0;0;0;167504;32;121%;44815;1.01;5.17;0;0;4096;435475;5.09;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;484e302528a6;20;0;0;0;0;150744;32;132%;41454;1.17;3.98;0;0;4096;220307;3.89;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;484e302528a6;20;0;0;0;0;167172;32;119%;44863;1.02;5.25;0;0;4096;215375;5.25;0;0;0;0;0;361;0
gantt;batsim_out_jobs.csv;484e302528a6;21;0;0;0;0;150896;32;132%;41628;1.21;3.85;0;0;4096;221428;3.82;0;0;0;0;0;371;0
load;batsim_out_jobs.csv;484e302528a6;21;0;0;0;0;167280;32;121%;44850;1.11;5.24;0;0;4096;433562;5.23;0;0;0;0;0;374;0
gantt;batsim_out_jobs.csv;484e302528a6;22;0;0;0;0;150992;32;131%;41416;1.12;3.91;0;0;4096;202885;3.84;0;0;0;0;0;365;0
load;batsim_out_jobs.csv;484e302528a6;22;0;0;0;0;166756;32;121%;44769;1.05;5.52;0;0;4096;213992;5.43;0;0;0;0;0;370;0
gantt;batsim_out_jobs.csv;484e302528a6;23;0;0;0;0;150768;32;132%;41491;1.16;3.91;0;0;4096;368891;3.82;0;0;0;0;0;372;0
load;batsim_out_jobs.csv;484e302528a6;23;0;0;0;0;167444;32;119%;44828;0.95;5.25;0;0;4096;93934;5.20;0;0;0;0;0;369;0
gantt;batsim_out_jobs.csv;484e302528a6;24;0;0;0;0;150852;32;132%;41550;1.19;3.96;0;0;4096;221;3.87;0;0;0;0;0;366;0
load;batsim_out_jobs.csv;484e302528a6;24;0;0;0;0;167136;32;121%;44881;1.11;5.12;0;0;4096;221411;5.12;0;0;0;0;0;373;0
gantt;batsim_out_jobs.csv;484e302528a6;25;0;0;0;0;150736;32;129%;41575;1.13;3.99;0;0;4096;134316;3.96;0;0;0;0;0;354;0
load;batsim_out_jobs.csv;484e302528a6;25;0;0;0;0;167424;32;120%;44859;1.05;5.43;0;0;4096;158;5.36;0;0;0;0;0;362;0
gantt;batsim_out_jobs.csv;484e302528a6;26;0;0;0;0;150768;32;127%;41413;1.20;4.69;0;0;4096;269;4.64;0;0;0;0;0;362;0
load;batsim_out_jobs.csv;484e302528a6;26;0;0;0;0;166664;32;117%;44616;2.40;5.36;0;0;4096;433687;6.61;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;484e302528a6;27;0;0;0;0;150988;32;134%;41491;1.23;3.91;0;0;4096;215201;3.82;0;0;0;0;0;366;0
load;batsim_out_jobs.csv;484e302528a6;27;0;0;0;0;166684;32;122%;44687;1.07;5.18;0;0;4096;220787;5.11;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;484e302528a6;28;0;0;0;0;150660;32;127%;41328;1.08;4.66;0;0;4096;290276;4.51;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;484e302528a6;28;0;0;0;0;167524;32;122%;44838;1.08;5.25;0;0;4096;219782;5.17;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;484e302528a6;29;0;0;0;0;150404;32;130%;41591;1.18;3.97;0;0;4096;311714;3.96;0;0;0;0;0;361;0
load;batsim_out_jobs.csv;484e302528a6;29;0;0;0;0;167336;32;115%;44820;1.09;6.24;0;0;4096;660341;6.35;0;0;0;0;0;358;0
gantt;batsim_out_jobs.csv;484e302528a6;30;0;0;0;0;150696;32;131%;41503;1.18;3.91;0;0;4096;215290;3.89;0;0;0;0;0;362;0
load;batsim_out_jobs.csv;484e302528a6;30;0;0;0;0;167008;32;118%;44831;0.98;5.22;0;0;4096;431353;5.23;0;0;0;0;0;365;0
gantt;jobs.csv;cebbabb56326;1;0;0;0;0;128140;32;150%;35992;1.33;2.58;0;0;4096;213552;2.59;0;0;0;0;0;360;0
load;jobs.csv;cebbabb56326;1;0;0;0;0;141440;32;130%;38520;1.26;3.76;0;0;4096;115;3.85;0;0;0;0;0;362;0
gantt;jobs.csv;cebbabb56326;2;0;0;0;0;128208;32;157%;35667;1.39;2.24;0;0;4096;215541;2.31;0;0;0;0;0;359;0
load;jobs.csv;cebbabb56326;2;0;0;0;0;141860;32;128%;38286;1.99;3.34;0;0;4096;247;4.15;0;0;0;0;0;352;0
gantt;jobs.csv;cebbabb56326;3;0;0;0;0;128484;32;158%;35832;1.17;2.23;0;0;4096;221206;2.14;0;0;0;0;0;369;0
load;jobs.csv;cebbabb56326;3;0;0;0;0;141896;32;130%;38422;1.19;3.78;0;0;4096;146;3.81;0;0;0;0;0;357;0
gantt;jobs.csv;cebbabb56326;4;0;0;0;0;128384;32;158%;35617;1.12;2.28;0;0;4096;221504;2.14;0;0;0;0;0;360;0
load;jobs.csv;cebbabb56326;4;0;0;0;0;141988;32;136%;38193;1.12;3.22;0;0;4096;109;3.19;0;0;0;0;0;367;0
gantt;jobs.csv;cebbabb56326;5;0;0;0;0;128540;32;158%;35584;1.02;2.36;0;0;4096;437247;2.14;0;0;0;0;0;355;0
load;jobs.csv;cebbabb56326;5;0;0;0;0;141888;32;131%;38299;1.14;3.74;0;0;4096;155395;3.72;0;0;0;0;0;367;0
gantt;jobs.csv;cebbabb56326;6;0;0;0;0;128372;32;158%;35668;1.15;2.30;0;0;4096;140;2.18;0;0;0;0;0;373;0
load;jobs.csv;cebbabb56326;6;0;0;0;0;141752;32;136%;38390;1.10;3.23;0;0;4096;432803;3.17;0;0;0;0;0;365;0
gantt;jobs.csv;cebbabb56326;7;0;0;0;0;127880;32;161%;35688;1.21;2.25;0;0;4096;216464;2.14;0;0;0;0;0;362;0
load;jobs.csv;cebbabb56326;7;0;0;0;0;142088;32;128%;38376;1.98;3.27;0;0;4096;214956;4.08;0;0;0;0;0;360;0
gantt;jobs.csv;cebbabb56326;8;0;0;0;0;128176;32;156%;35631;1.22;2.26;0;0;4096;221646;2.22;0;0;0;0;0;368;0
load;jobs.csv;cebbabb56326;8;0;0;0;0;141800;32;133%;38249;1.38;3.28;0;0;4096;125;3.49;0;0;0;0;0;363;0
gantt;jobs.csv;cebbabb56326;9;0;0;0;0;128664;32;150%;35736;1.18;2.58;0;0;4096;308475;2.49;0;0;0;0;0;368;0
load;jobs.csv;cebbabb56326;9;0;0;0;0;142056;32;136%;38327;1.08;3.28;0;0;4096;212578;3.21;0;0;0;0;0;363;0
gantt;jobs.csv;cebbabb56326;10;0;0;0;0;128320;32;158%;35655;1.20;2.21;0;0;4096;221260;2.14;0;0;0;0;0;365;0
load;jobs.csv;cebbabb56326;10;0;0;0;0;141596;32;136%;38278;1.09;3.26;0;0;4096;219501;3.19;0;0;0;0;0;357;0
gantt;jobs.csv;cebbabb56326;11;0;0;0;0;128152;32;160%;35656;1.26;2.25;0;0;4096;92;2.19;0;0;0;0;0;362;0
load;jobs.csv;cebbabb56326;11;0;0;0;0;142032;32;136%;38357;1.08;3.26;0;0;4096;219464;3.17;0;0;0;0;0;373;0
gantt;jobs.csv;cebbabb56326;12;0;0;0;0;128288;32;150%;35643;1.73;2.38;0;0;4096;215227;2.74;0;0;0;0;0;361;0
load;jobs.csv;cebbabb56326;12;0;0;0;0;141912;32;136%;39483;1.09;3.31;0;0;4096;95;3.23;0;0;0;0;0;366;0
gantt;jobs.csv;cebbabb56326;13;0;0;0;0;128420;32;160%;35749;1.18;2.26;0;0;4096;214513;2.15;0;0;0;0;0;363;0
load;jobs.csv;cebbabb56326;13;0;0;0;0;142032;32;136%;38331;1.09;3.24;0;0;4096;213593;3.18;0;0;0;0;0;355;0
gantt;jobs.csv;cebbabb56326;14;0;0;0;0;128432;32;159%;35659;1.22;2.25;0;0;4096;80;2.17;0;0;0;0;0;360;0
load;jobs.csv;cebbabb56326;14;0;0;0;0;141784;32;136%;38295;1.13;3.26;0;0;4096;87;3.22;0;0;0;0;0;370;0
gantt;jobs.csv;cebbabb56326;15;0;0;0;0;128476;32;157%;35647;1.33;2.21;0;0;4096;131;2.24;0;0;0;0;0;353;0
load;jobs.csv;cebbabb56326;15;0;0;0;0;141636;32;136%;38423;1.13;3.22;0;0;4096;220466;3.19;0;0;0;0;0;362;0
gantt;jobs.csv;cebbabb56326;16;0;0;0;0;128412;32;157%;35719;1.16;2.27;0;0;4096;437114;2.18;0;0;0;0;0;362;0
load;jobs.csv;cebbabb56326;16;0;0;0;0;141560;32;136%;38154;1.12;3.25;0;0;4096;215040;3.21;0;0;0;0;0;355;0
gantt;jobs.csv;cebbabb56326;17;0;0;0;0;128172;32;156%;35628;1.25;2.24;0;0;4096;221524;2.22;0;0;0;0;0;358;0
load;jobs.csv;cebbabb56326;17;0;0;0;0;141864;32;136%;38293;1.19;3.20;0;0;4096;108;3.22;0;0;0;0;0;359;0
gantt;jobs.csv;cebbabb56326;18;0;0;0;0;128292;32;157%;37334;1.16;2.26;0;0;4096;214291;2.17;0;0;0;0;0;368;0
load;jobs.csv;cebbabb56326;18;0;0;0;0;142032;32;130%;38286;1.16;3.85;0;0;4096;90;3.84;0;0;0;0;0;368;0
gantt;jobs.csv;cebbabb56326;19;0;0;0;0;128404;32;159%;35637;1.18;2.26;0;0;4096;214786;2.16;0;0;0;0;0;366;0
load;jobs.csv;cebbabb56326;19;0;0;0;0;141828;32;130%;38337;1.07;3.83;0;0;4096;154819;3.75;0;0;0;0;0;359;0
gantt;jobs.csv;cebbabb56326;20;0;0;0;0;128488;32;159%;35736;1.19;2.28;0;0;4096;146307;2.17;0;0;0;0;0;363;0
load;jobs.csv;cebbabb56326;20;0;0;0;0;141808;32;130%;38379;1.14;3.90;0;0;4096;157164;3.87;0;0;0;0;0;365;0
gantt;jobs.csv;cebbabb56326;21;0;0;0;0;128348;32;155%;35649;1.20;2.24;0;0;4096;228988;2.22;0;0;0;0;0;367;0
load;jobs.csv;cebbabb56326;21;0;0;0;0;141616;32;136%;38306;1.10;3.26;0;0;4096;212503;3.20;0;0;0;0;0;363;0
gantt;jobs.csv;cebbabb56326;22;0;0;0;0;128332;32;150%;35731;1.19;2.56;0;0;4096;311573;2.49;0;0;0;0;0;372;0
load;jobs.csv;cebbabb56326;22;0;0;0;0;141808;32;136%;38353;1.03;3.30;0;0;4096;432104;3.18;0;0;0;0;0;372;0
gantt;jobs.csv;cebbabb56326;23;0;0;0;0;128400;32;160%;35626;1.20;2.31;0;0;4096;81;2.18;0;0;0;0;0;364;0
load;jobs.csv;cebbabb56326;23;0;0;0;0;141864;32;135%;38331;1.10;3.24;0;0;4096;411503;3.19;0;0;0;0;0;364;0
gantt;jobs.csv;cebbabb56326;24;0;0;0;0;128304;32;160%;35694;1.24;2.28;0;0;4096;99;2.20;0;0;0;0;0;358;0
load;jobs.csv;cebbabb56326;24;0;0;0;0;141872;32;135%;38382;1.15;3.20;0;0;4096;100;3.21;0;0;0;0;0;365;0
gantt;jobs.csv;cebbabb56326;25;0;0;0;0;128408;32;150%;35715;1.13;2.57;0;0;4096;310278;2.46;0;0;0;0;0;365;0
load;jobs.csv;cebbabb56326;25;0;0;0;0;141940;32;129%;38373;1.14;3.78;0;0;4096;212;3.79;0;0;0;0;0;362;0
gantt;jobs.csv;cebbabb56326;26;0;0;0;0;128200;32;160%;35726;1.20;2.28;0;0;4096;87;2.17;0;0;0;0;0;368;0
load;jobs.csv;cebbabb56326;26;0;0;0;0;141740;32;136%;38274;1.11;3.26;0;0;4096;219254;3.21;0;0;0;0;0;360;0
gantt;jobs.csv;cebbabb56326;27;0;0;0;0;128280;32;158%;35715;1.17;2.23;0;0;4096;221093;2.15;0;0;0;0;0;366;0
load;jobs.csv;cebbabb56326;27;0;0;0;0;142100;32;136%;38316;1.03;3.26;0;0;4096;434765;3.14;0;0;0;0;0;373;0
gantt;jobs.csv;cebbabb56326;28;0;0;0;0;128400;32;160%;35587;1.20;2.23;0;0;4096;92;2.13;0;0;0;0;0;359;0
load;jobs.csv;cebbabb56326;28;0;0;0;0;141524;32;137%;38388;1.09;3.21;0;0;4096;219375;3.14;0;0;0;0;0;355;0
gantt;jobs.csv;cebbabb56326;29;0;0;0;0;128260;32;157%;35637;1.11;2.21;0;0;4096;436690;2.10;0;0;0;0;0;373;0
load;jobs.csv;cebbabb56326;29;0;0;0;0;141916;32;136%;38335;1.08;3.23;0;0;4096;360055;3.15;0;0;0;0;0;360;0
gantt;jobs.csv;cebbabb56326;30;0;0;0;0;128428;32;158%;35767;1.13;2.26;0;0;4096;435559;2.14;0;0;0;0;0;361;0
load;jobs.csv;cebbabb56326;30;0;0;0;0;141952;32;136%;38186;1.14;3.26;0;0;4096;133;3.23;0;0;0;0;0;362;0
gantt;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;150528;32;135%;41375;1.20;3.76;0;0;4096;221128;3.67;0;0;0;0;0;365;0
load;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;167004;32;123%;44770;1.15;4.95;0;0;4096;433334;4.94;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;150756;32;136%;41440;1.28;3.77;0;0;4096;216905;3.70;0;0;0;0;0;360;0
load;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;167444;32;123%;44802;1.10;4.99;0;0;4096;219432;4.94;0;0;0;0;0;361;0
gantt;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;150904;32;133%;41341;1.26;3.87;0;0;4096;428679;3.85;0;0;0;0;0;369;0
load;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;167488;32;123%;44836;1.13;5.10;0;0;4096;220338;5.06;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;150676;32;129%;41476;1.22;4.47;0;0;4096;157966;4.41;0;0;0;0;0;363;0
load;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;167516;32;122%;44796;1.07;5.10;0;0;4096;213266;5.04;0;0;0;0;0;359;0
gantt;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;150712;32;135%;41515;1.27;3.86;0;0;4096;153296;3.78;0;0;0;0;0;364;0
load;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;167276;32;121%;44793;1.62;5.08;0;0;4096;233;5.50;0;0;0;0;0;355;0
gantt;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;150716;32;131%;41463;1.67;4.27;0;0;4096;215577;4.53;0;0;0;0;0;355;0
load;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;167000;32;121%;44805;1.12;5.08;0;0;4096;408013;5.09;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;150652;32;131%;41431;1.26;4.46;0;0;4096;84;4.36;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;166760;32;123%;44799;1.06;5.10;0;0;4096;433869;5.00;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;150812;32;136%;41436;1.28;3.78;0;0;4096;128;3.72;0;0;0;0;0;353;0
load;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;167288;32;123%;44875;1.14;5.04;0;0;4096;219799;5.01;0;0;0;0;0;373;0
gantt;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;150612;32;130%;41521;1.23;4.61;0;0;4096;151578;4.48;0;0;0;0;0;356;0
load;batsim_out_jobs.csv;cebbabb56326;9;0;0;0;0;166692;32;119%;44903;1.16;5.94;0;0;4096;154109;5.93;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;150764;32;129%;41666;1.26;4.36;0;0;4096;158030;4.33;0;0;0;0;0;357;0
load;batsim_out_jobs.csv;cebbabb56326;10;0;0;0;0;167020;32;123%;44731;1.14;5.06;0;0;4096;220173;5.03;0;0;0;0;0;357;0
gantt;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;150692;32;128%;41329;1.21;4.56;0;0;4096;155215;4.48;0;0;0;0;0;360;0
load;batsim_out_jobs.csv;cebbabb56326;11;0;0;0;0;167320;32;118%;44988;2.39;5.21;0;0;4096;215136;6.42;0;0;0;0;0;353;0
gantt;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;150912;32;130%;41556;1.34;4.46;0;0;4096;97;4.45;0;0;0;0;0;360;0
load;batsim_out_jobs.csv;cebbabb56326;12;0;0;0;0;167372;32;122%;44747;1.23;5.06;0;0;4096;106;5.12;0;0;0;0;0;363;0
gantt;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;150616;32;136%;41398;1.24;3.87;0;0;4096;213978;3.76;0;0;0;0;0;349;0
load;batsim_out_jobs.csv;cebbabb56326;13;0;0;0;0;167380;32;122%;44839;1.10;5.13;0;0;4096;370797;5.08;0;0;0;0;0;349;0
gantt;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;151068;32;135%;41411;1.28;3.82;0;0;4096;105;3.76;0;0;0;0;0;370;0
load;batsim_out_jobs.csv;cebbabb56326;14;0;0;0;0;167372;32;119%;44982;1.21;5.85;0;0;4096;84;5.89;0;0;0;0;0;364;0
gantt;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;150836;32;131%;41482;1.28;4.45;0;0;4096;82;4.37;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;cebbabb56326;15;0;0;0;0;167356;32;121%;44818;1.59;5.03;0;0;4096;214568;5.46;0;0;0;0;0;355;0
gantt;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;150864;32;130%;41544;1.89;4.07;0;0;4096;213883;4.57;0;0;0;0;0;358;0
load;batsim_out_jobs.csv;cebbabb56326;16;0;0;0;0;166656;32;122%;44748;1.15;5.08;0;0;4096;220801;5.08;0;0;0;0;0;361;0
gantt;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;150828;32;128%;41345;1.26;4.50;0;0;4096;365274;4.49;0;0;0;0;0;354;0
load;batsim_out_jobs.csv;cebbabb56326;17;0;0;0;0;167384;32;123%;44940;1.12;5.06;0;0;4096;220244;5.02;0;0;0;0;0;358;0
gantt;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;150944;32;134%;41400;1.18;3.84;0;0;4096;220829;3.74;0;0;0;0;0;361;0
load;batsim_out_jobs.csv;cebbabb56326;18;0;0;0;0;167180;32;123%;44837;1.04;5.07;0;0;4096;213467;4.95;0;0;0;0;0;364;0
gantt;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;150896;32;135%;41480;1.24;3.84;0;0;4096;151940;3.75;0;0;0;0;0;351;0
load;batsim_out_jobs.csv;cebbabb56326;19;0;0;0;0;167424;32;123%;44871;1.11;5.01;0;0;4096;97;4.95;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;150932;32;137%;41452;1.22;3.78;0;0;4096;214750;3.64;0;0;0;0;0;370;0
load;batsim_out_jobs.csv;cebbabb56326;20;0;0;0;0;167400;32;123%;44836;1.22;4.91;0;0;4096;94;4.95;0;0;0;0;0;354;0
gantt;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;150848;32;136%;41381;1.20;3.82;0;0;4096;214418;3.68;0;0;0;0;0;364;0
load;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;166804;32;123%;44928;1.11;5.04;0;0;4096;214124;4.98;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;150660;32;137%;41494;1.24;3.79;0;0;4096;213429;3.67;0;0;0;0;0;358;0
load;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;167116;32;123%;44715;1.11;5.06;0;0;4096;88;5.01;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;150976;32;128%;41523;1.07;3.96;0;0;4096;450427;3.90;0;0;0;0;0;369;0
load;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;167088;32;120%;44728;1.00;5.18;0;0;4096;638428;5.14;0;0;0;0;0;358;0
gantt;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;150856;32;133%;41496;1.24;3.92;0;0;4096;230;3.88;0;0;0;0;0;355;0
load;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;167048;32;119%;44894;1.06;5.34;0;0;4096;305611;5.36;0;0;0;0;0;380;0
gantt;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;150656;32;128%;41330;1.12;4.00;0;0;4096;223382;3.99;0;0;0;0;0;369;0
load;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;167380;32;122%;44877;1.15;5.20;0;0;4096;214506;5.20;0;0;0;0;0;357;0
gantt;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;151080;32;129%;41493;1.20;4.48;0;0;4096;172266;4.40;0;0;0;0;0;364;0
load;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;166868;32;122%;44794;1.12;5.17;0;0;4096;108;5.12;0;0;0;0;0;365;0
gantt;batsim_out_jobs.csv;cebbabb56326;27;0;0;0;0;150424;32;131%;41367;1.08;3.88;0;0;4096;351086;3.77;0;0;0;0;0;376;0
