date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
782.027,6,5484,473.854
783.154,6,5484,473.103
783.154,5,3292,379.277
786.776,5,3292,375.655
786.776,3,2050,347.261
786.781,3,2050,347.255
786.781,1,808,313.007
797.046,1,808,302.742
797.046,0,0,0
799.306,0,0,0
799.306,0,0,0
801.669,0,0,0
801.669,1,154,208.075
805.406,1,154,204.339
805.406,1,154,192.601
806.289,1,154,191.718
806.289,2,579,247.839
809.36,2,579,244.768
809.36,3,723,255.281
813.688,3,723,250.953
813.688,1,144,211.496
817.328,1,144,207.856
817.328,2,219,221.458
825.282,2,219,213.504
825.282,3,373,233.567
836.033,3,373,222.815
836.033,4,958,258.189
857.168,4,958,237.054
857.168,5,1286,253.454
861.417,5,1286,249.205
861.417,6,1361,252.955
881.541,6,1361,232.831
881.541,7,1795,254.531
882.731,7,1795,253.341
882.731,6,1720,243.415
891.988,6,1720,234.158
891.988,6,1720,230.871
900,6,1720,216.059
900,6,1720,223.259
902.198,6,1720,221.171
902.198,5,1576,218.397
904.844,5,1576,215.751
904.844,6,2010,237.451
908.807,6,2010,233.488
908.807,4,1271,217.262
924.519,4,1271,201.55
924.519,5,1346,205.497
927.726,5,1346,202.29
927.726,5,1346,194.285
927.731,5,1346,194.28
927.731,4,1018,172.959
933.394,4,1018,167.296
933.394,2,509,133.982
942.651,2,509,125.342
942.651,1,75,72.7917
944.415,1,75,71.0275
944.415,0,0,0
953.672,0,0,0
953.672,0,0,0
955.76,0,0,0
955.76,0,0,0
956.926,0,0,0
956.926,0,0,0
957.809,0,0,0
957.809,0,0,0
958.412,0,0,0
958.412,0,0,0
962.234,0,0,0
962.234,0,0,0
963.909,0,0,0
963.909,0,0,0
964.512,0,0,0
964.512,0,0,0
967.053,0,0,0
967.053,1,75,192.359
968.334,1,75,191.078
968.334,1,75,184.262
975.146,1,75,177.45
975.146,2,660,231.306
994.423,2,660,212.029
994.423,3,1085,226.469
995.991,3,1085,224.901
995.991,4,1413,230.82
997.317,4,1413,229.494
997.317,3,1338,226.708
1006.57,3,1338,217.451
1006.57,2,753,193.059
1020.63,2,753,179.005
1020.63,3,2545,266.332
1028.84,3,2545,258.118
1028.84,4,3477,302.499
1033.43,4,3477,297.913
1033.43,5,3911,318.579
1052.58,5,3911,299.432
1052.58,4,3486,285.055
1052.58,4,3486,285.05
1052.58,4,3486,271.888
1057.29,4,3486,267.849
1057.29,5,5278,348.777
1062.85,5,5278,343.799
1062.85,4,4950,342.346
1069.69,4,4950,335.753
1069.69,5,5094,341.086
1074.34,5,5094,336.607
1074.34,4,3302,295.496
1079.53,4,3302,290.583
1079.53,3,2370,249.339
1083.6,3,2370,245.507
1083.6,2,1936,236.56
1084.27,2,1936,235.927
1084.27,3,2370,261.456
1089.84,3,2370,256.217
1089.84,2,578,109.582
1089.84,1,434,91.8803
1090.53,1,434,91.2524
1090.53,2,710,114.252
1093.68,2,710,111.363
1093.68,1,276,89.9148
1096.45,1,276,87.1428
1096.45,1,276,75.639
1099.48,1,276,73.2851
1099.48,2,2040,213.327
1118.57,2,2040,196.049
1118.57,2,2040,195.788
1119.85,2,2040,194.69
1119.85,1,1764,216.514
1122.07,1,1764,214.295
1122.07,2,2020,229.354
1123.85,2,2020,227.579
1123.85,1,256,65.2327
1126.67,1,256,62.4139
1126.67,0,0,0
1133.26,0,0,0
1133.26,1,144,48.4811
1145.94,1,144,35.7995
1145.94,0,0,0
1147.51,0,0,0
1147.51,0,0,0
1148.84,0,0,0
1148.84,0,0,0
1149.31,0,0,0
1149.31,1,600,233.808
1152.55,1,600,230.566
1152.55,1,600,197.87
1154.94,1,600,196.678
1154.94,1,600,196.678
1162.61,1,600,192.843
1162.61,2,1408,256.365
1177.53,2,1408,243.098
1177.53,2,1408,241.688
1181.92,2,1408,237.301
1181.92,3,3600,342.98
1184.14,3,3600,340.759
1184.14,3,3600,334.814
1188.75,3,3600,330.627
1188.75,3,3600,324.634
1200,3,3600,287.884
1200,3,3600,315.426
1208.77,3,3600,308.25
1208.77,3,3600,316.614
1224.55,3,3600,302.268
1224.55,3,3600,295.354
1231.47,3,3600,289.693
1231.47,2,3000,265.521
1232.01,2,3000,264.981
1232.01,3,3425,280.077
1232.96,3,3425,279.127
1232.96,4,3859,299.793
1234.63,4,3859,298.125
1234.63,3,3051,357.794
1235.25,3,3051,357.17
1235.25,3,3051,351.963
1241.04,3,3051,346.64
1241.04,1,434,173.982
1246.29,1,434,169.385
1246.29,0,0,0
1246.91,0,0,0
1246.91,0,0,0
1267.06,0,0,0
1267.06,0,0,0
1273.07,0,0,0
1273.07,0,0,0
1282.33,0,0,0
1282.33,0,0,0
1287.15,0,0,0
1287.15,0,0,0
1295.29,0,0,0
1295.29,0,0,0
1296.41,0,0,0
1296.41,0,0,0
1300.47,0,0,0
1300.47,1,1168,227.965
1314.13,1,1168,217.041
1314.13,1,1168,215.945
1319.82,1,1168,212.529
1319.82,1,1168,226.929
1325.57,1,1168,222.33
1325.57,2,2932,324.254
1326.43,2,2932,323.462
1326.43,2,2932,318.231
1329.05,2,2932,316.027
1329.05,2,2932,315.588
1332.57,2,2932,312.917
1332.57,2,2932,307.117
1341.52,2,2932,300.671
1341.52,3,3366,318.031
1353.11,3,3366,309.686
1353.11,4,5158,376.514
1366.92,4,5158,366.287
1366.92,5,6950,432.657
1377.33,5,6950,424.944
1377.33,6,7375,440.685
1383.53,6,7375,436.091
1383.53,5,6207,438.042
1387.24,5,6207,434.331
1387.24,4,5782,427.718
1390.02,4,5782,425.064
1390.02,5,7974,517.938
1393.05,5,7974,515.025
1393.05,5,7974,528.786
1399.15,5,7974,522.952
1399.15,5,7974,522.952
1414.38,5,7974,508.39
1414.38,4,6210,429.698
1414.99,4,6210,429.112
1414.99,5,6394,437.11
1420.12,5,6394,432.197
1420.12,1,2192,386.85
1425,1,2192,382.238
1425,2,3000,425.027
1438.96,2,3000,411.803
1438.96,3,3425,430.335
1446.6,3,3425,423.014
1446.6,3,3425,417.554
1455.41,3,3425,409.847
1455.41,4,5217,484.514
1464.24,4,5217,476.785
1464.24,1,1792,371.242
1473.93,1,1792,361.549
1473.93,2,2120,383.873
1475.45,2,2120,382.36
1475.45,3,3576,450.919
1488.74,3,3576,437.622
1488.74,4,5340,513.426
1500,4,5340,475.344
1500,4,5340,502.169
1500.43,4,5340,501.741
1500.43,3,3548,439.436
1500.95,3,3548,438.91
1500.95,4,3623,442.319
1515.13,4,3623,428.143
1515.13,5,5415,502.423
1521.03,5,5415,496.526
1521.03,4,5340,490.949
1526.9,4,5340,485.072
1526.9,4,5340,479.495
1530.28,4,5340,476.244
1530.28,4,5340,473.716
1530.64,4,5340,473.384
1530.64,4,5340,479.307
1546.89,4,5340,463.689
1546.89,5,5925,486.189
1559.89,5,5925,473.69
1559.89,6,6857,509.536
1561.07,6,6857,508.4
1561.07,6,6857,502.55
1565.9,6,6857,498.277
1565.9,5,6529,541.451
1568.28,5,6529,539.065
1568.28,6,6604,541.95
1580.2,6,6604,530.034
1580.2,7,6679,532.919
1582.58,7,6679,530.536
1582.58,6,5747,520.487
1596.97,6,5747,506.101
1596.97,7,7539,575.024
1607.56,7,7539,564.434
1607.56,8,8347,595.511
1617.04,8,8347,586.024
1617.04,9,8781,602.717
1619.15,9,8781,600.608
1619.15,8,8706,598.089
1628.41,8,8706,588.832
1628.41,7,8631,586.303
1637.48,7,8631,577.231
1637.48,8,9216,599.731
1637.67,8,9216,599.546
1637.67,8,9216,608.55
1643.32,8,9216,603.124
1643.32,6,6839,611.747
1646.74,6,6839,609.469
1646.74,7,7264,633.08
1650.85,7,7264,630.336
1650.85,8,8976,714.505
1653.54,8,8976,712.551
1653.54,8,8976,723.084
1667.23,8,8976,713.957
1667.23,8,8976,728.447
1667.93,8,8976,728.024
1667.93,7,7184,675.759
1674.3,7,7184,672.222
1674.3,7,7184,573.698
1680.62,7,7184,567.381
1680.62,8,7618,587.108
1683.43,8,7618,584.294
1683.43,8,7618,586.188
1698.31,8,7618,572.794
1698.31,9,7894,586.594
1704.91,9,7894,580.659
1704.91,8,7618,554.545
1708.9,8,7618,550.951
1708.9,8,7618,619.857
1715.2,8,7618,615.446
1715.2,9,8203,644.696
1723.1,9,8203,639.167
1723.1,8,7395,781.719
1730.04,8,7395,779.985
1730.04,7,6961,762.71
1734.52,7,6961,761.589
1734.52,6,5505,468.348
1739.57,6,5505,463.298
1739.57,7,5689,474.121
1744.23,7,5689,469.463
1744.23,6,5104,453.179
1759.05,6,5104,438.355
1759.05,7,5716,476.173
1760.43,7,5716,474.8
1760.43,2,2297,300.017
1764.37,2,2297,296.983
1764.37,2,2297,308.06
1770.98,2,2297,301.96
1770.98,2,2297,291.9
1775.97,2,2297,288.064
1775.97,2,2297,302.218
1783.29,2,2297,295.461
1783.29,3,2481,309.615
1786.91,3,2481,306.272
1786.91,2,2297,296.192
1800,2,2297,307.782
1800,2,2297,307.782
1802.45,2,2297,305.336
1802.45,2,2297,294.416
1806.1,2,2297,291.371
1806.1,2,2297,281.035
1813.39,2,2297,274.868
1813.39,2,2297,264.788
1817.44,2,2297,261.985
1817.44,3,3105,322.209
1838.38,3,3105,306.852
1838.38,3,3105,317.118
1848.12,3,3105,309.328
1848.12,3,3105,291.912
1849.1,3,3105,291.388
1849.1,4,3913,384.487
1850.95,4,3913,385.229
1850.95,4,3913,447.32
1864.63,4,3913,435.594
1864.63,4,3913,442.927
1867.77,4,3913,440.088
1867.77,5,4721,473.257
1870.99,5,4721,470.287
1870.99,5,4721,464.437
1883.42,5,4721,453.922
1883.42,6,5889,498.845
1886.89,6,5889,495.91
1886.89,5,4721,485.899
1897.54,5,4721,475.245
1897.54,6,5125,490.784
1901.38,6,5125,486.946
1901.38,6,5125,481.096
1911.14,6,5125,472.088
1911.14,7,6917,537.032
1924.32,7,6917,524.79
1924.32,7,6917,531.362
1926.89,7,6917,528.791
1926.89,7,6917,526.453
1941.09,7,6917,512.758
1941.09,8,7321,527.187
1947.72,8,7321,520.791
1947.72,9,7865,540.22
1950.8,9,7865,537.253
1950.8,9,7865,532.573
1953.14,9,7865,530.48
1953.14,8,7461,528.141
1957.62,8,7461,523.664
1957.62,8,7461,530.456
1967.6,8,7461,520.85
1967.6,7,7057,532.231
1971.48,7,7057,529.19
1971.48,7,7057,526.929
1974.52,7,7057,524.4
1974.52,7,7057,514.055
1981.13,7,7057,507.954
1981.13,7,7057,518.892
1988.9,7,7057,512.414
1988.9,7,7057,518.84
1989.08,7,7057,518.712
1989.08,6,6513,475.569
1991.41,6,6513,473.419
1991.41,6,6513,520.853
1992.53,6,6513,520.355
1992.53,6,6513,507.51
1997.14,6,6513,504.74
1997.14,6,6513,492.244
2003.53,6,6513,487.601
2003.53,6,6513,517.297
2003.75,6,6513,517.197
2003.75,6,6513,537.364
2013.71,6,6513,534.046
2013.71,6,6513,609.09
2013.71,5,4801,325.933
2014.43,5,4801,325.206
2014.43,6,4945,330.966
2019.01,6,4945,326.393
2019.01,5,4360,317.648
2023.46,5,4360,313.39
2023.46,6,6152,389.836
2029.8,6,6152,383.749
2029.8,5,5344,373.357
2040.42,5,5344,362.74
2040.42,5,5344,356.435
2047.48,5,5344,349.679
2047.48,6,5488,355.94
2050.96,6,5488,352.614
2050.96,4,3872,305.959
2052.47,4,3872,304.537
2052.47,5,4056,315.36
2055.7,5,4056,312.313
2055.7,0,0,0
2059.99,0,0,0
2059.99,0,0,0
2061.8,0,0,0
2061.8,0,0,0
2062.31,0,0,0
2062.31,0,0,0
2062.31,0,0,0
2065.32,0,0,0
2065.32,1,2576,527.175
2066.09,1,2576,526.404
2066.09,1,2576,526.404
2068.41,1,2576,524.081
2068.41,1,2576,524.081
2068.41,1,2576,524.081
2082.19,1,2576,510.309
2082.19,1,2576,501.573
2082.81,1,2576,501.033
2082.81,1,2576,506.033
2092.07,1,2576,497.394
2092.07,1,2576,493.011
2094.02,1,2576,491.319
2094.02,1,2576,448.087
2095.68,1,2576,446.937
2095.68,1,2576,478.112
2100,1,2576,586.45
2100,1,2576,586.45
2101.19,1,2576,585.257
2101.19,2,2651,560.024
2106.1,2,2651,555.117
2106.1,2,2651,528.576
2120.68,2,2651,514
2120.68,3,2726,475.979
2129.14,3,2726,467.516
2129.14,4,2870,410.144
2130.71,4,2870,408.574
2130.71,3,2795,356.65
2135.16,3,2795,352.2
2135.16,4,3051,389.228
2139.97,4,3051,384.421
2139.97,3,2976,422.25
2146.79,3,2976,415.427
2146.79,4,3232,441.37
2149.22,4,3232,438.936
2149.22,4,3232,405.689
2174.85,4,3232,382.914
2174.85,5,5024,470.172
2187.19,5,5024,458.266
2187.19,6,5636,480.123
2204.77,6,5636,463.175
2204.77,7,6070,478.675
2217.84,7,6070,466.069
2217.84,8,6214,471.211
2225.89,8,6214,463.451
2225.89,9,6799,484.344
2236.91,9,6799,473.718
2236.91,8,6214,447.195
2249,8,6214,436.003
2249,9,6799,457.67
2252.71,9,6799,454.229
2252.71,9,6799,454.026
2257.62,9,6799,449.664
2257.62,9,6799,449.462
2261.52,9,6799,446.136
2261.52,8,6214,417.533
2272.2,8,6214,408.913
2272.2,8,6214,408.491
2274.1,8,6214,407.102
2274.1,9,6639,423.448
2280.66,9,6639,418.652
2280.66,9,6639,417.809
2282.23,9,6639,416.904
2282.23,9,6639,416.271
2282.36,9,6639,416.212
2282.36,10,7571,452.058
2286.68,10,7571,450.064
2286.68,9,4995,355.893
2295.6,9,4995,347.316
2295.6,8,4851,340.993
2300.74,8,4851,336.047
2300.74,7,4595,335.836
2301.22,7,4595,335.36
2301.22,8,4851,345.206
2302.21,8,4851,344.217
2302.21,7,4595,346.242
2313.92,7,4595,334.535
2313.92,8,5180,358.91
2316.76,8,5180,356.069
2316.76,7,3388,304.718
2316.76,6,3244,293.201
2323.37,6,3244,286.592
2323.37,6,3244,283.212
2330.61,6,3244,276.626
2330.61,7,3844,303.898
2341.78,7,3844,293.747
2341.78,8,5012,346.838
2358.84,8,5012,331.326
2358.84,9,5612,358.599
2362.82,9,5612,354.978
2362.82,8,5000,330.729
2363.07,8,5000,330.484
2363.07,9,5328,344.151
2364.29,9,5328,342.931
2364.29,8,4894,329.614
2366.1,8,4894,327.798
2366.1,9,5078,335.798
2375.67,9,5078,326.233
2375.67,8,4653,345.102
2382.24,8,4653,338.532
2382.24,4,2280,304.295
